publication_year,tier,n_papers,method,n_method
2014,AEJ field,141,DiD,2
2014,AEJ field,141,SCM,0
2014,AEJ field,141,SDID,0
2014,Top-5,492,DiD,3
2014,Top-5,492,SCM,0
2014,Top-5,492,SDID,0
2015,AEJ field,181,DiD,1
2015,AEJ field,181,SCM,0
2015,AEJ field,181,SDID,0
2015,Top-5,511,DiD,0
2015,Top-5,511,SCM,0
2015,Top-5,511,SDID,0
2016,AEJ field,154,DiD,3
2016,AEJ field,154,SCM,0
2016,AEJ field,154,SDID,0
2016,Top-5,1271,DiD,2
2016,Top-5,1271,SCM,0
2016,Top-5,1271,SDID,0
2017,AEJ field,152,DiD,5
2017,AEJ field,152,SCM,0
2017,AEJ field,152,SDID,0
2017,Top-5,575,DiD,8
2017,Top-5,575,SCM,0
2017,Top-5,575,SDID,0
2018,AEJ field,171,DiD,2
2018,AEJ field,171,SCM,0
2018,AEJ field,171,SDID,0
2018,Top-5,440,DiD,3
2018,Top-5,440,SCM,0
2018,Top-5,440,SDID,0
2019,AEJ field,180,DiD,6
2019,AEJ field,180,SCM,1
2019,AEJ field,180,SDID,0
2019,Top-5,417,DiD,4
2019,Top-5,417,SCM,0
2019,Top-5,417,SDID,0
2020,AEJ field,187,DiD,5
2020,AEJ field,187,SCM,0
2020,AEJ field,187,SDID,0
2020,Top-5,479,DiD,4
2020,Top-5,479,SCM,0
2020,Top-5,479,SDID,0
2021,AEJ field,197,DiD,4
2021,AEJ field,197,SCM,0
2021,AEJ field,197,SDID,0
2021,Top-5,462,DiD,5
2021,Top-5,462,SCM,1
2021,Top-5,462,SDID,1
2022,AEJ field,261,DiD,4
2022,AEJ field,261,SCM,2
2022,AEJ field,261,SDID,0
2022,Top-5,457,DiD,8
2022,Top-5,457,SCM,1
2022,Top-5,457,SDID,0
2023,AEJ field,232,DiD,8
2023,AEJ field,232,SCM,1
2023,AEJ field,232,SDID,0
2023,Top-5,476,DiD,5
2023,Top-5,476,SCM,3
2023,Top-5,476,SDID,0
2024,AEJ field,226,DiD,10
2024,AEJ field,226,SCM,1
2024,AEJ field,226,SDID,0
2024,Top-5,473,DiD,7
2024,Top-5,473,SCM,0
2024,Top-5,473,SDID,0
