variable,col,bv_exp_mean,bv_exp_sd,bv_ctrl_mean,bv_ctrl_sd,our_exp_mean,our_exp_sd,our_ctrl_mean,our_ctrl_sd,gap_exp,gap_ctrl
"All cause mortality (per 100,000)",crude_rate_pre,315.17,94.69,359.06,117.06,314.73135007272606,92.78931529239317,362.36683250062515,114.35491402509481,-0.438649927273957,3.3068325006251484
% Population ages 20-24,pct_2024,0.12,0.03,0.12,0.04,0.11738653270033798,0.027608690133439046,0.11900453063908581,0.03851751583426329,-0.0026134672996620117,-9.954693609141863e-4
% Population ages 25-34,pct_2534,0.23,0.03,0.22,0.03,0.2245030518081727,0.032473389368175065,0.22347533856373888,0.032993400577438485,-0.0054969481918273055,0.0034753385637388834
% Population ages 35-44,pct_3544,0.22,0.02,0.22,0.02,0.21896889205431397,0.017097816778534815,0.22071601929812548,0.02246642137129085,-0.0010311079456860328,7.160192981254809e-4
% Population ages 45-54,pct_4554,0.24,0.02,0.24,0.02,0.23852153593341818,0.023669946450306352,0.23646932226711254,0.025321744010615307,-0.0014784640665818083,-0.003530677732887455
% Population ages 55-64,pct_5564,0.2,0.03,0.2,0.04,0.20061998750375715,0.02937002328798486,0.20033478923193723,0.03651261880255002,6.199875037571356e-4,3.3478923193722143e-4
% Male,pct_male,0.5,0.01,0.49,0.02,0.49217466705318463,0.01106683421999448,0.49160450295837643,0.012707446734787886,-0.007825332946815367,0.0016045029583764414
% Hispanic,pct_hispanic,0.19,0.16,0.16,0.19,0.18709049063639424,0.15702802251350007,0.16423006474831606,0.18627683489651747,-0.002909509363605761,0.004230064748316054
% White,pct_white,0.78,0.14,0.79,0.13,0.787940916086283,0.14543297116356257,0.8010409574062424,0.13313003212298324,0.007940916086283,0.011040957406242335
% Black,pct_black,0.11,0.11,0.15,0.12,0.09774651636435772,0.10518513601857458,0.14120089425109994,0.12295421585256501,-0.012253483635642284,-0.008799105748900055
Unemployed rate,unemp_frac,0.09,0.02,0.08,0.02,0.09209689135088314,0.022645616542137953,0.08213104303195677,0.020452411636405172,0.0020968913508831455,0.0021310430319567697
Poverty rate,poverty_rate,0.15,0.05,0.16,0.05,0.1472982960048599,0.05102886117517501,0.1592158073534837,0.054358981329175694,-0.002701703995140081,-7.841926465163018e-4
"Real median income ($10,000)",med_income_10k,5.95,1.46,5.33,1.49,5.92514943738414,1.468427038792204,5.170890514093287,1.3909037976433767,-0.024850562615860383,-0.15910948590671303
Uninsured rate,uninsured_rate,0.19,0.06,0.24,0.07,0.1847664551697771,0.062299297005359446,0.23163675953628857,0.07108961088547071,-0.005233544830222897,-0.008363240463711424
Obama 2008 vote share,obama_share_2008,0.46,0.12,0.38,0.13,0.582658095230052,0.13214398736392075,0.4663535794507099,0.1305450752830601,0.12265809523005194,0.08635357945070987
Obama 2012 vote share,obama_share_2012,0.43,0.13,0.35,0.14,0.5670598372381196,0.1408580368762684,0.4456326432917559,0.14148061923045005,0.1370598372381196,0.09563264329175591
Democratic governor,dem_governor_2010,0.76,0.43,0.49,0.5,0.58649267252094,0.49246219915866174,0.3518314017093909,0.4775416908298124,-0.17350732747906006,-0.13816859829060907
