fips,year,crude_rate,population,death_supp
1001,2005,464.45530484211986,28851,0
1001,2006,487.0347977965874,29772,0
1001,2007,428.0962887344815,30367,0
1001,2008,424.7867959402056,30839,0
1003,2005,409.2293376194907,94568,0
1003,2006,412.79247982016966,97870,0
1003,2007,422.2736892544823,100172,0
1003,2008,400.1061706791974,101723,0
1005,2005,543.0022771063234,17127,0
1005,2006,391.9045390734675,17096,0
1005,2007,446.7172162463998,17013,0
1005,2008,393.7702027622686,17015,0
1007,2005,585.2285354470702,13499,0
1007,2006,560.3066941905043,13564,0
1007,2007,450.77795550385343,13754,0
1007,2008,579.8969072164948,13968,0
1009,2005,435.32338308457713,32160,0
1009,2006,405.6545789797173,32540,0
1009,2007,422.4795598917966,32901,0
1009,2008,531.387913176619,33309,0
1011,2005,751.653638003608,6652,0
1011,2006,707.4746231928638,6502,0
1011,2007,653.497697905837,6733,0
1011,2008,536.9127516778523,6705,0
1013,2005,805.6912659638297,11667,0
1013,2006,554.5601911099735,11721,0
1013,2007,525.4682600220358,11799,0
1013,2008,664.08876933423,11896,0
1015,2005,587.9427852692544,68374,0
1015,2006,611.9349005424955,69125,0
1015,2007,595.255212077642,69550,0
1015,2008,568.0517399267399,69888,0
1017,2005,588.8125613346418,20380,0
1017,2006,599.6927194330178,20177,0
1017,2007,698.400118876616,20189,0
1017,2008,573.5946930021447,20049,0
1019,2005,643.2591798445457,14924,0
1019,2006,535.9978824775013,15112,0
1019,2007,549.5960799894054,15102,0
1019,2008,576.082638061184,15102,0
1021,2005,505.1922537187763,24941,0
1021,2006,614.0595717532597,25079,0
1021,2007,520.2790587678846,25371,0
1021,2008,511.4284590267123,25419,0
1023,2005,663.1299734748011,8294,0
1023,2006,692.588092345079,8230,0
1023,2007,556.3110396835208,8089,0
1023,2008,613.0364068559991,7993,0
1025,2005,465.4255319148936,15040,0
1025,2006,444.3265468532396,15079,0
1025,2007,470.2720859926101,14885,0
1025,2008,465.68131200647906,14817,0
1027,2005,507.677067855374,8076,0
1027,2006,560.9573672400898,8022,0
1027,2007,509.12703340370047,8053,0
1027,2008,420.4798417017067,8086,0
1029,2005,602.908145170824,8459,0
1029,2006,480.9384164222874,8525,0
1029,2007,556.7799559215869,8621,0
1029,2008,441.5011037527594,8607,0
1031,2005,440.38066803508116,26795,0
1031,2006,472.0808438445084,27114,0
1031,2007,405.77420281528293,27848,0
1031,2008,424.32318698274656,28516,0
1033,2005,504.0798966636212,31741,0
1033,2006,565.7175183858194,31818,0
1033,2007,568.9001264222503,31640,0
1033,2008,496.9927192149414,31590,0
1035,2005,655.4798112218143,7628,0
1035,2006,574.7126436781609,7656,0
1035,2007,635.2567496029645,7556,0
1035,2008,530.5743467303356,7539,0
1037,2005,659.0509666080844,6828,0
1037,2006,603.2960565038258,6796,0
1037,2007,614.8440931049627,6831,0
1037,2008,614.2146826557473,6838,0
1039,2005,623.5422913989242,21009,0
1039,2006,566.3048607833884,21190,0
1039,2007,600.8543397643525,21303,0
1039,2008,526.3899985900267,21277,0
1041,2005,529.5789201756652,7742,0
1041,2006,495.3639019433507,7873,0
1041,2007,517.5460742236809,7922,0
1041,2008,681.044267877412,7929,0
1043,2005,488.63808350089727,46251,0
1043,2006,495.61488568534924,46407,0
1043,2007,472.24488043618254,46586,0
1043,2008,568.121142222507,46821,0
1045,2005,430.0031209903942,28837,0
1045,2006,470.3441120525679,28915,0
1045,2007,432.06913106096977,29162,0
1045,2008,439.1489361702128,29375,0
1047,2005,741.9354838709678,24800,0
1047,2006,799.0684227433344,24904,0
1047,2007,732.4533161622666,24848,0
1047,2008,807.7479504902749,24884,0
1049,2005,480.2709739389803,39561,0
1049,2006,495.0992711736617,39790,0
1049,2007,466.2643993417444,40106,0
1049,2008,516.1513385360072,40492,0
1051,2005,384.12007637994583,45038,0
1051,2006,449.2925801922454,46295,0
1051,2007,375.10800160158476,47453,0
1051,2008,413.38789214143327,47655,0
1053,2005,606.114626972101,22438,0
1053,2006,582.2222222222223,22500,0
1053,2007,502.26686816605917,22498,0
1053,2008,574.7126436781609,22446,0
1055,2005,598.2367758186398,60344,0
1055,2006,620.6259078304503,60584,0
1055,2007,624.1354324484553,60724,0
1055,2008,622.991347342398,60675,0
1057,2005,580.1024847723097,10343,0
1057,2006,688.7730000983961,10163,0
1057,2007,641.346828339513,9979,0
1057,2008,562.3054523546541,9959,0
1059,2005,503.1868500503187,17886,0
1059,2006,562.7681506658495,17947,0
1059,2007,633.869972513603,17827,0
1059,2008,573.1137324727354,17972,0
1061,2005,488.88293597642644,14932,0
1061,2006,529.7311614355715,15102,0
1061,2007,495.6711387218294,15131,0
1061,2008,385.8983582968147,15289,0
1063,2005,690.2985074626865,5360,0
1063,2006,655.232222008094,5189,0
1063,2007,731.7542846139033,5193,0
1063,2008,628.8109756097562,5248,0
1065,2005,660.2065807688213,9391,0
1065,2006,513.2043194696889,9353,0
1065,2007,714.9717212677409,9371,0
1065,2008,764.0159259657808,9293,0
1067,2005,588.1745949850377,9691,0
1067,2006,609.7560975609756,9840,0
1067,2007,473.7903225806452,9920,0
1067,2008,582.2708563397249,9961,0
1069,2005,439.556464012445,55283,0
1069,2006,391.6009568530167,56435,0
1069,2007,438.5584773527016,57689,0
1069,2008,444.16243654822335,58312,0
1071,2005,525.5704169944926,31775,0
1071,2006,544.5902981080995,31767,0
1071,2007,586.7427846495401,31530,0
1071,2008,620.9004648793225,31406,0
1073,2005,489.9063063703042,394157,0
1073,2006,528.2343935914635,395847,0
1073,2007,504.47920980073326,396052,0
1073,2008,529.8981546838762,396680,0
1075,2005,381.2384473197782,8656,0
1075,2006,528.479154433353,8515,0
1075,2007,622.5772348173382,8513,0
1075,2008,596.8011458582,8378,0
1077,2005,410.7903454803597,52825,0
1077,2006,469.5012019230769,53248,0
1077,2007,443.7814655976133,53630,0
1077,2008,418.6890955574493,53978,0
1079,2005,612.8456304589104,20723,0
1079,2006,522.3589142745558,20484,0
1079,2007,558.3608467663624,20596,0
1079,2008,493.9599941311684,20447,0
1081,2005,302.0651651879376,79122,0
1081,2006,281.243859304382,81424,0
1081,2007,292.8451776955615,82979,0
1081,2008,317.92932277508567,84610,0
1083,2005,429.9265257842178,43961,0
1083,2006,388.7440915315634,45274,0
1083,2007,442.98921417565487,46728,0
1083,2008,360.9512612668358,48483,0
1085,2005,740.8483439860546,6884,0
1085,2006,730.5669199298655,6844,0
1085,2007,633.937785640572,6783,0
1085,2008,738.5524372230428,6770,0
1087,2005,796.8441814595661,12675,0
1087,2006,661.7820846135664,12693,0
1087,2007,721.7950729640671,12746,0
1087,2008,758.7733164717041,12652,0
1089,2005,376.62110824854807,183208,0
1089,2006,369.1294829523967,187739,0
1089,2007,383.4315822421618,191690,0
1089,2008,359.679243552775,196286,0
1091,2005,672.8909075616116,11889,0
1091,2006,607.1338224133569,11859,0
1091,2007,528.3905057451983,11923,0
1091,2008,583.0164765525983,11835,0
1093,2005,521.1251821136389,17846,0
1093,2006,616.7351927991999,17998,0
1093,2007,534.1048180705463,17974,0
1093,2008,601.258709822432,17796,0
1095,2005,475.48941588413174,50264,0
1095,2006,514.6569605886267,51102,0
1095,2007,539.1929499072356,51744,0
1095,2008,544.3086325439266,52360,0
1097,2005,538.6080561106874,234679,0
1097,2006,517.6327881833153,237427,0
1097,2007,555.7898604888111,239479,0
1097,2008,542.3928266580481,241338,0
1099,2005,483.60284116669186,13234,0
1099,2006,476.7309875141884,13215,0
1099,2007,470.5168095924717,13177,0
1099,2008,581.3953488372093,13072,0
1101,2005,450.73665169194425,133781,0
1101,2006,471.48400322131926,136590,0
1101,2007,422.4133543691791,137543,0
1101,2008,434.68414169972453,136881,0
1103,2005,484.0839078773654,68170,0
1103,2006,425.13058618688336,68920,0
1103,2007,427.37502518203013,69494,0
1103,2008,431.18833792601265,70039,0
1105,2005,904.6624913013222,5748,0
1105,2006,670.4304869442484,5668,0
1105,2007,705.5918151349445,5669,0
1105,2008,723.7422771403354,5665,0
1107,2005,541.1159407433692,11273,0
1107,2006,530.035335689046,11320,0
1107,2007,488.23790501553486,11265,0
1107,2008,533.8078291814946,11240,0
1109,2005,539.3331880584005,18356,0
1109,2006,479.1566842357451,18783,0
1109,2007,451.65695079039966,19041,0
1109,2008,513.6186770428016,19275,0
1111,2005,451.6430462544775,12842,0
1111,2006,536.047234307023,12872,0
1111,2007,529.7600498597694,12836,0
1111,2008,641.6202844774273,12936,0
1113,2005,580.1579128046687,29130,0
1113,2006,599.7966790918333,29510,0
1113,2007,529.5616034320955,29836,0
1113,2008,629.7481007596961,30012,0
1115,2005,450.90517531462416,44577,0
1115,2006,461.6606901290503,46571,0
1115,2007,479.4929310806083,48593,0
1115,2008,497.8734554836629,49611,0
1117,2005,297.57753289626635,107535,0
1117,2006,295.5453259058912,111658,0
1117,2007,280.2911524345914,114167,0
1117,2008,313.5333321911354,116734,0
1119,2005,509.683995922528,7848,0
1119,2006,572.9564553093965,7854,0
1119,2007,435.6181934657271,7805,0
1119,2008,520.8333333333333,7872,0
1121,2005,524.2356603116745,48833,0
1121,2006,584.9979616795761,49060,0
1121,2007,540.05766029155,49254,0
1121,2008,575.3413556987156,49362,0
1123,2005,610.5777328617147,23748,0
1123,2006,497.4292521840906,23923,0
1123,2007,435.6665698518733,24101,0
1123,2008,534.69286247202194,24126,0
1125,2005,367.59272942219593,108272,0
1125,2006,437.21612245627836,111844,0
1125,2007,381.65594812988587,113977,0
1125,2008,394.8047479786685,116260,0
1127,2005,707.210093144744,40582,0
1127,2006,817.1148417768533,40386,0
1127,2007,825.2063015753938,39990,0
1127,2008,767.686904164576,39860,0
1129,2005,511.106742677413,10174,0
1129,2006,422.43835347283624,10179,0
1129,2007,557.1584916923689,10051,0
1129,2008,439.47263284059125,10012,0
1131,2005,620.9298803574133,6603,0
1131,2006,666.4647076643441,6602,0
1131,2007,819.5499925495454,6711,0
1131,2008,722.3476297968397,6645,0
1133,2005,555.8945156260593,14751,0
1133,2006,636.5544795828537,14767,0
1133,2007,564.3187381017134,14708,0
1133,2008,639.3070736234275,14547,0
4001,2005,560.0112565076685,35535,0
4001,2006,583.5397742912194,36330,0
4001,2007,567.5461813419192,36649,0
4001,2008,534.297587565438,37058,0
4003,2005,416.9173300502259,71477,0
4003,2006,380.5007168854086,72536,0
4003,2007,368.3871762917517,73021,0
4003,2008,391.4561623656501,73316,0
4005,2005,305.83779080183245,78146,0
4005,2006,302.9461513216026,79222,0
4005,2007,286.3866718133257,80311,0
4005,2008,320.4061764452167,81147,0
4007,2005,695.9043131569409,27590,0
4007,2006,558.4406345592944,28114,0
4007,2007,453.8737597635635,28422,0
4007,2008,634.0865300402872,28545,0
4009,2005,413.4509371554576,18140,0
4009,2006,352.8468323977546,18705,0
4009,2007,423.231859670593,19611,0
4009,2008,388.89699090953286,20571,0
4011,2005,376.02820211515865,4255,0
4011,2006,471.9101123595505,4450,0
4011,2007,406.50406504065046,4674,0
4011,2008,388.70703764320785,4888,0
4012,2005,622.1607742445191,10126,0
4012,2006,776.0314341846758,10180,0
4012,2007,735.0749975166385,10067,0
4012,2008,658.828299209406,9866,0
4013,2005,308.5713463295985,2084445,0
4013,2006,313.77853924351234,2146737,0
4013,2007,298.8585663857625,2183307,0
4013,2008,290.86780915163934,2210970,0
4015,2005,615.8241715813555,103601,0
4015,2006,609.3828259780734,107814,0
4015,2007,590.5043967897036,109398,0
4015,2008,604.8721206429873,108618,0
4017,2005,555.5960361410667,54896,0
4017,2006,560.6942609192529,56002,0
4017,2007,551.4092545438582,56945,0
4017,2008,540.0430645273321,57588,0
4019,2005,372.5022263117651,540131,0
4019,2006,377.1789546806371,552788,0
4019,2007,362.25421648925544,560656,0
4019,2008,370.4679101615318,565771,0
4021,2005,446.40558926273206,135975,0
4021,2006,387.1164591239345,157317,0
4021,2007,386.59069709944595,177966,0
4021,2008,328.19030909747664,193790,0
4023,2005,262.2492241793785,22879,0
4023,2006,267.03967446592065,23592,0
4023,2007,289.7590860170544,24158,0
4023,2008,212.20159151193633,24505,0
4025,2005,424.2141044318005,109143,0
4025,2006,418.9993002099371,114320,0
4025,2007,451.80593777594885,116643,0
4025,2008,430.50693689607067,116839,0
4027,2005,326.6171333398224,92463,0
4027,2006,280.8194058783465,95435,0
4027,2007,321.1192129511265,97783,0
4027,2008,259.24368906772366,99906,0
5001,2005,637.3319364414178,11454,0
5001,2006,675.9129213483146,11392,0
5001,2007,551.7977928088288,11236,0
5001,2008,682.9005301464642,11129,0
5003,2005,482.3889739663093,13060,0
5003,2006,589.2386416498682,12898,0
5003,2007,593.7772147890112,12631,0
5003,2008,574.9421065239959,12523,0
5005,2005,552.4601001038814,21178,0
5005,2006,592.4554501272853,21605,0
5005,2007,558.0714514432094,21861,0
5005,2008,578.8313120176406,21768,0
5007,2005,298.5852084050341,107507,0
5007,2006,289.18603417170755,113076,0
5007,2007,304.0262243849414,117753,0
5007,2008,327.92274501746454,121675,0
5009,2005,349.47824374876944,20316,0
5009,2006,514.463211026985,20604,0
5009,2007,401.1078216025213,20942,0
5009,2008,439.0569819604849,20954,0
5011,2005,440.72278536800354,6807,0
5011,2006,492.39033124440465,6702,0
5011,2007,513.7503777576308,6618,0
5011,2008,582.3754789272031,6525,0
5013,2005,491.85367353212416,3253,0
5013,2006,579.2682926829268,3280,0
5013,2007,462.3921085080148,3244,0
5013,2008,378.54889589905366,3170,0
5015,2005,418.7111547268564,15285,0
5015,2006,422.5718372123261,15382,0
5015,2007,482.14751107636175,15348,0
5015,2008,513.7877211238293,15376,0
5017,2005,798.5430092462874,7138,0
5017,2006,399.5433789954338,7008,0
5017,2007,679.7801562048019,6914,0
5017,2008,831.9714752637052,6731,0
5019,2005,376.2510346903454,13289,0
5019,2006,404.25213355292703,13358,0
5019,2007,466.7703934207602,13497,0
5019,2008,346.53100346531005,13563,0
5021,2005,451.6129032258065,9300,0
5021,2006,530.1882709370267,9242,0
5021,2007,615.3846153846154,9100,0
5021,2008,515.5216855317718,8923,0
5023,2005,522.7728444571757,13964,0
5023,2006,584.4618674269423,14030,0
5023,2007,478.57142857142856,14000,0
5023,2008,565.335623300415,13974,0
5025,2005,516.3853028798411,5035,0
5025,2006,516.2827640984908,5036,0
5025,2007,456.7116759332804,5036,0
5025,2008,423.4724742891712,4959,0
5027,2005,549.9153976311337,14184,0
5027,2006,472.79655634747013,14171,0
5027,2007,504.583895956222,14071,0
5027,2008,552.4069158476218,13939,0
5029,2005,571.1363055153014,11731,0
5029,2006,509.5108695652174,11776,0
5029,2007,528.479154433353,11921,0
5029,2008,654.0880503144654,11925,0
5031,2005,404.00989257867815,52969,0
5031,2006,461.2734110149868,53981,0
5031,2007,426.0766206455153,54685,0
5031,2008,416.3512490537472,55482,0
5033,2005,524.8487723876171,33724,0
5033,2006,456.3290219444848,34405,0
5033,2007,481.40294572754885,34898,0
5033,2008,527.8542441183982,35237,0
5035,2005,591.5502817739508,28569,0
5035,2006,548.0886716704485,28645,0
5035,2007,639.4217403391716,28776,0
5035,2008,615.9382677601301,28899,0
5037,2005,623.7780467368029,10741,0
5037,2006,521.3270142180095,10550,0
5037,2007,607.5216972034715,10370,0
5037,2008,560.3323350400927,10351,0
5039,2005,584.9174848548151,4787,0
5039,2006,907.747519527127,4737,0
5039,2007,790.5982905982905,4680,0
5039,2008,476.7063921993499,4615,0
5041,2005,733.7796086508754,7768,0
5041,2006,571.2801869644248,7702,0
5041,2007,609.5137140585664,7547,0
5041,2008,605.0013444474321,7438,0
5043,2005,459.1368227731864,10890,0
5043,2006,389.4297635605007,10785,0
5043,2007,533.4081976417742,10686,0
5043,2008,516.1895823557015,10655,0
5045,2005,314.7971124369582,60674,0
5045,2006,340.42687947305086,63156,0
5045,2007,311.3680154142582,64875,0
5045,2008,347.69055540568894,66726,0
5047,2005,461.28177446265585,10189,0
5047,2006,422.35536784205874,10181,0
5047,2007,548.64308807681,10207,0
5047,2008,568.962134588974,10194,0
5049,2005,511.1244738424534,6652,0
5049,2006,560.2665051483949,6604,0
5049,2007,681.6834617664493,6748,0
5049,2008,595.8587814687919,6713,0
5051,2005,616.4515507609324,51910,0
5051,2006,506.75036871761904,52886,0
5051,2007,571.7724947336744,53168,0
5051,2008,618.1164306585749,53388,0
5053,2005,391.4277326548586,10219,0
5053,2006,359.53745991643183,10291,0
5053,2007,310.6494515095622,10301,0
5053,2008,430.6632213608958,10449,0
5055,2005,471.1883456533956,23133,0
5055,2006,453.6589502247096,23586,0
5055,2007,470.0944386149003,23825,0
5055,2008,576.2726019960746,23947,0
5057,2005,406.7536454336148,13030,0
5057,2006,501.7367811655731,12955,0
5057,2007,525.5429322204188,12939,0
5057,2008,563.6449037106622,12774,0
5059,2005,412.438269929994,18427,0
5059,2006,488.32271762208063,18840,0
5059,2007,446.40512578120894,19041,0
5059,2008,572.4789915966386,19040,0
5061,2005,508.00101600203203,7874,0
5061,2006,422.9142637447136,7803,0
5061,2007,545.5253929081699,7699,0
5061,2008,463.67851622874804,7764,0
5063,2005,432.47971232810147,20579,0
5063,2006,491.85070884366866,20738,0
5063,2007,451.7710385927813,20807,0
5063,2008,561.4203454894433,20840,0
5065,2005,458.59538784067087,7632,0
5065,2006,613.8174219668277,7657,0
5065,2007,566.3856691253952,7592,0
5065,2008,590.5511811023622,7620,0
5067,2005,580.6986819061665,10849,0
5067,2006,552.4861878453038,10860,0
5067,2007,580.3242446573323,10856,0
5067,2008,459.51658854884664,10881,0
5069,2005,582.5691932363086,47548,0
5069,2006,485.94971476864566,47330,0
5069,2007,494.13878668606145,46748,0
5069,2008,578.5941667383636,46492,0
5071,2005,488.54084345139734,13919,0
5071,2006,403.3684806453896,14131,0
5071,2007,452.14245965498054,14376,0
5071,2008,450.10733328716844,14441,0
5073,2005,613.7758581495794,4399,0
5073,2006,559.4405594405595,4290,0
5073,2007,608.187134502924,4275,0
5073,2008,751.5265382808831,4258,0
5075,2005,464.4442150892765,9689,0
5075,2006,510.204081632653,9604,0
5075,2007,486.4920815650554,9661,0
5075,2008,555.0416281221092,9729,0
5077,2005,640.7455948740352,6867,0
5077,2006,504.45103857566767,6740,0
5077,2007,637.0392840891856,6593,0
5077,2008,806.4516129032257,6572,0
5079,2005,420.2563563773902,9518,0
5079,2006,555.6149161235174,9359,0
5079,2007,332.9037800687285,9312,0
5079,2008,344.7532859297565,9282,0
5081,2005,477.01073274148666,7547,0
5081,2006,610.6464887826895,7533,0
5081,2007,523.489932885906,7450,0
5081,2008,676.132521974307,7395,0
5083,2005,543.3070866141732,12700,0
5083,2006,503.382098474123,12714,0
5083,2007,605.7745260011014,12711,0
5083,2008,610.9171691526499,12604,0
5085,2005,344.4123988463585,35713,0
5085,2006,472.1562702352688,37064,0
5085,2007,392.32207272440036,37979,0
5085,2008,451.6990042090135,38964,0
5087,2005,405.8441558441558,8624,0
5087,2006,485.27254260241506,8861,0
5087,2007,469.79865771812075,8940,0
5087,2008,429.7520661157025,9075,0
5089,2005,479.284268825221,9389,0
5089,2006,544.5026178010471,9550,0
5089,2007,586.080586080586,9555,0
5089,2008,574.8928608759277,9567,0
5091,2005,425.3611556982343,24920,0
5091,2006,480.2158987181014,25197,0
5091,2007,511.7017056723522,25210,0
5091,2008,516.6226288598809,25357,0
5093,2005,638.393190472635,26786,0
5093,2006,590.4919512562058,26588,0
5093,2007,734.9892578493084,26531,0
5093,2008,724.7193120799069,26631,0
5095,2005,1006.4412238325282,4968,0
5095,2006,595.1159450030782,4873,0
5095,2007,755.9848803023939,4762,0
5095,2008,622.718488297187,4657,0
5097,2005,626.1005674036392,5111,0
5097,2006,425.2851343514402,5173,0
5097,2007,387.22168441432723,5165,0
5097,2008,595.581171950048,5205,0
5099,2005,503.91937290033593,5358,0
5099,2006,703.689615823507,5258,0
5099,2007,676.5899864682003,5173,0
5099,2008,596.6587112171837,5028,0
5101,2005,526.2092693786683,4941,0
5101,2006,510.3082261686058,4899,0
5101,2007,450.1739308369143,4887,0
5101,2008,413.564929693962,4836,0
5103,2005,503.89372423270726,15281,0
5103,2006,653.1204644412192,15158,0
5103,2007,631.6909368974001,15039,0
5103,2008,763.5632953784326,14930,0
5105,2005,548.4460694698355,6017,0
5105,2006,546.9915464942815,6033,0
5105,2007,589.7771952817824,6104,0
5105,2008,446.3547693833692,6049,0
5107,2005,613.350326589135,12554,0
5107,2006,830.8218620184084,12277,0
5107,2007,722.7714546813991,12037,0
5107,2008,798.7892037332884,11893,0
5109,2005,507.1315372424723,6310,0
5109,2006,348.59768657898906,6311,0
5109,2007,345.4773869346734,6368,0
5109,2008,363.2917390617596,6331,0
5111,2005,705.247873885086,14463,0
5111,2006,759.0529247910863,14360,0
5111,2007,884.0244159124395,14253,0
5111,2008,646.3068181818181,14080,0
5113,2005,441.64037854889585,11095,0
5113,2006,500.2680007146686,11194,0
5113,2007,653.9460718444863,11163,0
5113,2008,647.0746832030197,11127,0
5115,2005,402.78716961161905,34013,0
5115,2006,335.6860044758134,34854,0
5115,2007,367.67825324546766,35357,0
5115,2008,438.8539482879106,35775,0
5117,2005,423.48411934552456,5195,0
5117,2006,598.8023952095808,5177,0
5117,2007,447.90652385589095,5135,0
5117,2008,579.7680927628949,5002,0
5119,2005,460.50051338095506,226927,0
5119,2006,475.9555134424684,229013,0
5119,2007,430.51953411791277,230187,0
5119,2008,445.75113808801217,231968,0
5121,2005,532.8071040947212,10135,0
5121,2006,551.0726234993111,10162,0
5121,2007,417.86886876927673,10051,0
5121,2008,559.6082742080544,10007,0
5123,2005,547.9294036221017,17338,0
5123,2006,600.7046727892335,17313,0
5123,2007,532.4690357680287,17278,0
5123,2008,516.4809656453111,17232,0
5125,2005,403.22580645161287,55304,0
5125,2006,405.6866070960183,57187,0
5125,2007,388.7696286404895,59161,0
5125,2008,366.4157575355639,60314,0
5127,2005,461.361014994233,6069,0
5127,2006,437.88517677586765,6166,0
5127,2007,453.36787564766837,6176,0
5127,2008,672.4618664917173,6097,0
5129,2005,567.4378000872981,4582,0
5129,2006,688.0240808428294,4651,0
5129,2007,705.7313943541488,4676,0
5129,2008,576.7998290963469,4681,0
5131,2005,442.4090799869963,70749,0
5131,2006,429.17858829411927,71998,0
5131,2007,433.0194515086948,72745,0
5131,2008,478.1149393794096,72995,0
5133,2005,353.39591385974603,9055,0
5133,2006,495.7585105210973,9077,0
5133,2007,596.0922839165471,9059,0
5133,2008,349.87972884321016,9146,0
5135,2005,544.6972124319128,9363,0
5135,2006,631.6454363617223,9499,0
5135,2007,630.9485616511603,9351,0
5135,2008,584.6053913608314,9237,0
5137,2005,436.2214199759326,6648,0
5137,2006,474.42550037064495,6745,0
5137,2007,504.2266053685304,6743,0
5137,2008,633.3775224628075,6789,0
5139,2005,626.9465679731424,24723,0
5139,2006,784.6166354988211,24598,0
5139,2007,720.5436829607795,24426,0
5139,2008,681.1653672548215,24370,0
5141,2005,545.4347114650376,9167,0
5141,2006,592.8640724372103,9277,0
5141,2007,512.5467164975975,9365,0
5141,2008,445.8125464388069,9421,0
5143,2005,302.70938134321773,113310,0
5143,2006,301.5563373682821,117391,0
5143,2007,315.3650538713779,119544,0
5143,2008,292.1258796972514,120496,0
5145,2005,425.9188361408882,41792,0
5145,2006,377.34959081153744,42401,0
5145,2007,385.0821508588499,42848,0
5145,2008,424.70156106519744,43560,0
5147,2005,680.4214223002634,4556,0
5147,2006,647.0325747434181,4482,0
5147,2007,502.283105022831,4380,0
5147,2008,982.4561403508773,4275,0
5149,2005,512.561969582388,11901,0
5149,2006,452.5259173934507,12154,0
5149,2007,451.1894995898278,12190,0
5149,2008,533.2040717401842,12378,0
6001,2005,271.60709986649454,913820,0
6001,2006,271.5055522830901,916740,0
6001,2007,278.5696196777943,924006,0
6001,2008,264.3713954202641,937696,0
6003,2005,354.4842254519674,789,1
6003,2006,274.442538593482,829,1
6003,2007,242.46622791825428,826,1
6003,2008,320.3987184051264,769,1
6005,2005,399.82616253802695,23010,0
6005,2006,360.082304526749,23328,0
6005,2007,420.2394091179217,23558,0
6005,2008,413.4901150019382,23217,0
6007,2005,374.1807348560079,125875,0
6007,2006,437.6967286280282,127714,0
6007,2007,424.035980700127,128291,0
6007,2008,413.1497455460913,129493,0
6009,2005,348.37927900636174,26408,0
6009,2006,427.5092936802974,26900,0
6009,2007,416.12483745123535,26915,0
6009,2008,380.923927250999,26777,0
6011,2005,265.55722758254404,11297,0
6011,2006,302.0105272240918,11589,0
6011,2007,367.86722559671483,11689,0
6011,2008,332.7929004181244,11719,0
6013,2005,266.92655278909143,601289,0
6013,2006,277.34762063625635,602493,0
6013,2007,279.3484723953967,607127,0
6013,2008,274.5987978168745,614715,0
6015,2005,532.9704598287691,17637,0
6015,2006,459.33991153453553,17634,0
6015,2007,571.3005488966058,17854,0
6015,2008,464.1538977742982,17882,0
