"Notes","County","County Code","Year","Year Code",Deaths,Population,Crude Rate
,"Autauga County, AL","01001","2012","2012",131,32324,405.3
,"Autauga County, AL","01001","2013","2013",170,32315,526.1
,"Autauga County, AL","01001","2014","2014",156,32448,480.8
,"Autauga County, AL","01001","2015","2015",155,32451,477.6
,"Autauga County, AL","01001","2016","2016",150,32464,462.1
,"Autauga County, AL","01001","2017","2017",144,32537,442.6
,"Baldwin County, AL","01003","2012","2012",451,109714,411.1
,"Baldwin County, AL","01003","2013","2013",446,111966,398.3
,"Baldwin County, AL","01003","2014","2014",506,114123,443.4
,"Baldwin County, AL","01003","2015","2015",505,115587,436.9
,"Baldwin County, AL","01003","2016","2016",461,117732,391.6
,"Baldwin County, AL","01003","2017","2017",483,119339,404.7
,"Barbour County, AL","01005","2012","2012",58,16658,348.2
,"Barbour County, AL","01005","2013","2013",79,16455,480.1
,"Barbour County, AL","01005","2014","2014",78,16218,480.9
,"Barbour County, AL","01005","2015","2015",80,15833,505.3
,"Barbour County, AL","01005","2016","2016",73,15312,476.8
,"Barbour County, AL","01005","2017","2017",90,14773,609.2
,"Bibb County, AL","01007","2012","2012",70,14073,497.4
,"Bibb County, AL","01007","2013","2013",84,14002,599.9
,"Bibb County, AL","01007","2014","2014",80,13994,571.7
,"Bibb County, AL","01007","2015","2015",72,14046,512.6
,"Bibb County, AL","01007","2016","2016",74,14009,528.2
,"Bibb County, AL","01007","2017","2017",97,13907,697.5
,"Blount County, AL","01009","2012","2012",152,33375,455.4
,"Blount County, AL","01009","2013","2013",156,33238,469.3
,"Blount County, AL","01009","2014","2014",194,33015,587.6
,"Blount County, AL","01009","2015","2015",168,32940,510.0
,"Blount County, AL","01009","2016","2016",184,32719,562.4
,"Blount County, AL","01009","2017","2017",211,32871,641.9
,"Bullock County, AL","01011","2012","2012",28,6484,431.8
,"Bullock County, AL","01011","2013","2013",37,6603,560.4
,"Bullock County, AL","01011","2014","2014",42,6612,635.2
,"Bullock County, AL","01011","2015","2015",33,6619,498.6
,"Bullock County, AL","01011","2016","2016",33,6250,528.0
,"Bullock County, AL","01011","2017","2017",32,6340,504.7
,"Butler County, AL","01013","2012","2012",81,11700,692.3
,"Butler County, AL","01013","2013","2013",69,11475,601.3
,"Butler County, AL","01013","2014","2014",88,11428,770.0
,"Butler County, AL","01013","2015","2015",73,11258,648.4
,"Butler County, AL","01013","2016","2016",88,11049,796.5
,"Butler County, AL","01013","2017","2017",65,10996,591.1
,"Calhoun County, AL","01015","2012","2012",391,69647,561.4
,"Calhoun County, AL","01015","2013","2013",427,69457,614.8
,"Calhoun County, AL","01015","2014","2014",426,68767,619.5
,"Calhoun County, AL","01015","2015","2015",452,68146,663.3
,"Calhoun County, AL","01015","2016","2016",458,67206,681.5
,"Calhoun County, AL","01015","2017","2017",452,66791,676.7
,"Chambers County, AL","01017","2012","2012",159,19823,802.1
,"Chambers County, AL","01017","2013","2013",143,19954,716.6
,"Chambers County, AL","01017","2014","2014",113,19785,571.1
,"Chambers County, AL","01017","2015","2015",130,19783,657.1
,"Chambers County, AL","01017","2016","2016",130,19521,665.9
,"Chambers County, AL","01017","2017","2017",115,19468,590.7
,"Cherokee County, AL","01019","2012","2012",107,15062,710.4
,"Cherokee County, AL","01019","2013","2013",112,14977,747.8
,"Cherokee County, AL","01019","2014","2014",109,14776,737.7
,"Cherokee County, AL","01019","2015","2015",104,14578,713.4
,"Cherokee County, AL","01019","2016","2016",107,14466,739.7
,"Cherokee County, AL","01019","2017","2017",107,14374,744.4
,"Chilton County, AL","01021","2012","2012",162,25622,632.3
,"Chilton County, AL","01021","2013","2013",151,25800,585.3
,"Chilton County, AL","01021","2014","2014",133,25644,518.6
,"Chilton County, AL","01021","2015","2015",163,25495,639.3
,"Chilton County, AL","01021","2016","2016",142,25419,558.6
,"Chilton County, AL","01021","2017","2017",151,25423,594.0
,"Choctaw County, AL","01023","2012","2012",51,7656,666.1
,"Choctaw County, AL","01023","2013","2013",55,7588,724.8
,"Choctaw County, AL","01023","2014","2014",38,7534,504.4
,"Choctaw County, AL","01023","2015","2015",46,7395,622.0
,"Choctaw County, AL","01023","2016","2016",54,7240,745.9
,"Choctaw County, AL","01023","2017","2017",52,7126,729.7
,"Clarke County, AL","01025","2012","2012",68,14222,478.1
,"Clarke County, AL","01025","2013","2013",81,14307,566.2
,"Clarke County, AL","01025","2014","2014",64,14209,450.4
,"Clarke County, AL","01025","2015","2015",65,14065,462.1
,"Clarke County, AL","01025","2016","2016",86,13818,622.4
,"Clarke County, AL","01025","2017","2017",83,13602,610.2
,"Clay County, AL","01027","2012","2012",22,7667,286.9
,"Clay County, AL","01027","2013","2013",38,7710,492.9
,"Clay County, AL","01027","2014","2014",54,7706,700.8
,"Clay County, AL","01027","2015","2015",50,7670,651.9
,"Clay County, AL","01027","2016","2016",48,7587,632.7
,"Clay County, AL","01027","2017","2017",44,7594,579.4
,"Cleburne County, AL","01029","2012","2012",58,8494,682.8
,"Cleburne County, AL","01029","2013","2013",62,8563,724.0
,"Cleburne County, AL","01029","2014","2014",60,8506,705.4
,"Cleburne County, AL","01029","2015","2015",64,8432,759.0
,"Cleburne County, AL","01029","2016","2016",62,8371,740.7
,"Cleburne County, AL","01029","2017","2017",55,8331,660.2
,"Coffee County, AL","01031","2012","2012",129,30133,428.1
,"Coffee County, AL","01031","2013","2013",101,29760,339.4
,"Coffee County, AL","01031","2014","2014",119,29646,401.4
,"Coffee County, AL","01031","2015","2015",122,29658,411.4
,"Coffee County, AL","01031","2016","2016",145,29477,491.9
,"Coffee County, AL","01031","2017","2017",138,29820,462.8
,"Colbert County, AL","01033","2012","2012",174,31689,549.1
,"Colbert County, AL","01033","2013","2013",192,31556,608.4
,"Colbert County, AL","01033","2014","2014",189,31410,601.7
,"Colbert County, AL","01033","2015","2015",190,31252,608.0
,"Colbert County, AL","01033","2016","2016",175,31151,561.8
,"Colbert County, AL","01033","2017","2017",187,31186,599.6
