"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate
,"Alabama","01","2005","2005",13178,2719031,484.7
,"Alabama","01","2006","2006",13570,2756228,492.3
,"Alabama","01","2007","2007",13446,2782771,483.2
,"Alabama","01","2008","2008",13773,2804655,491.1
,"Alabama","01","2009","2009",13824,2829938,488.5
,"Alabama","01","2010","2010",13827,2845632,485.9
,"Alabama","01","2011","2011",14185,2865535,495.0
,"Alabama","01","2012","2012",14240,2866177,496.8
,"Alabama","01","2013","2013",14513,2870690,505.6
,"Alabama","01","2014","2014",14478,2871384,504.2
,"Alabama","01","2015","2015",14912,2866282,520.3
,"Alabama","01","2016","2016",15124,2855640,529.6
,"Alabama","01","2017","2017",15099,2848871,530.0
,"Alaska","02","2005","2005",1333,417223,319.5
,"Alaska","02","2006","2006",1349,423834,318.3
,"Alaska","02","2007","2007",1453,428049,339.4
,"Alaska","02","2008","2008",1432,433094,330.6
,"Alaska","02","2009","2009",1470,438658,335.1
,"Alaska","02","2010","2010",1509,447453,337.2
,"Alaska","02","2011","2011",1615,455797,354.3
,"Alaska","02","2012","2012",1615,462295,349.3
,"Alaska","02","2013","2013",1646,461683,356.5
,"Alaska","02","2014","2014",1656,461726,358.7
,"Alaska","02","2015","2015",1704,461025,369.6
,"Alaska","02","2016","2016",1763,459451,383.7
,"Alaska","02","2017","2017",1698,454795,373.4
,"Arizona","04","2005","2005",11901,3388802,351.2
,"Arizona","04","2006","2006",12262,3503542,350.0
,"Arizona","04","2007","2007",12127,3579611,338.8
,"Arizona","04","2008","2008",12035,3633378,331.2
,"Arizona","04","2009","2009",12148,3664824,331.5
,"Arizona","04","2010","2010",12320,3690545,333.8
,"Arizona","04","2011","2011",12558,3754432,334.5
,"Arizona","04","2012","2012",12917,3782310,341.5
,"Arizona","04","2013","2013",13225,3809368,347.2
,"Arizona","04","2014","2014",13227,3856831,342.9
,"Arizona","04","2015","2015",13804,3899988,353.9
,"Arizona","04","2016","2016",14395,3941143,365.2
,"Arizona","04","2017","2017",14294,3992893,358.0
,"Arkansas","05","2005","2005",7471,1628661,458.7
,"Arkansas","05","2006","2006",7669,1652564,464.1
,"Arkansas","05","2007","2007",7704,1666836,462.2
,"Arkansas","05","2008","2008",8088,1678393,481.9
,"Arkansas","05","2009","2009",8018,1689759,474.5
,"Arkansas","05","2010","2010",7891,1700007,464.2
,"Arkansas","05","2011","2011",8195,1719098,476.7
,"Arkansas","05","2012","2012",8245,1717848,480.0
,"Arkansas","05","2013","2013",8260,1718092,480.8
,"Arkansas","05","2014","2014",8418,1716376,490.5
,"Arkansas","05","2015","2015",8597,1717951,500.4
,"Arkansas","05","2016","2016",8723,1718063,507.7
,"Arkansas","05","2017","2017",8800,1721072,511.3
,"California","06","2005","2005",60787,21547137,282.1
,"California","06","2006","2006",61319,21722300,282.3
,"California","06","2007","2007",61203,21884022,279.7
,"California","06","2008","2008",60321,22098909,273.0
,"California","06","2009","2009",60957,22345676,272.8
,"California","06","2010","2010",59259,22555400,262.7
,"California","06","2011","2011",60953,22909070,266.1
,"California","06","2012","2012",61364,23101866,265.6
,"California","06","2013","2013",61720,23283465,265.1
,"California","06","2014","2014",62260,23590302,263.9
,"California","06","2015","2015",63723,23783152,267.9
,"California","06","2016","2016",64869,23773923,272.9
,"California","06","2017","2017",64399,23939982,269.0
,"Colorado","08","2005","2005",7904,2880800,274.4
,"Colorado","08","2006","2006",7975,2935806,271.6
,"Colorado","08","2007","2007",8212,2985464,275.1
,"Colorado","08","2008","2008",8552,3034509,281.8
,"Colorado","08","2009","2009",8799,3081005,285.6
,"Colorado","08","2010","2010",8607,3114879,276.3
,"Colorado","08","2011","2011",9139,3169698,288.3
,"Colorado","08","2012","2012",9140,3201566,285.5
,"Colorado","08","2013","2013",9071,3242599,279.7
,"Colorado","08","2014","2014",9433,3289013,286.8
,"Colorado","08","2015","2015",9605,3346869,287.0
,"Colorado","08","2016","2016",10077,3392144,297.1
,"Colorado","08","2017","2017",10048,3429416,293.0
,"Connecticut","09","2005","2005",5878,2092311,280.9
,"Connecticut","09","2006","2006",5901,2106081,280.2
,"Connecticut","09","2007","2007",5864,2115175,277.2
,"Connecticut","09","2008","2008",5893,2126218,277.2
,"Connecticut","09","2009","2009",5910,2139884,276.2
,"Connecticut","09","2010","2010",5953,2151762,276.7
,"Connecticut","09","2011","2011",5974,2158090,276.8
,"Connecticut","09","2012","2012",6072,2155955,281.6
,"Connecticut","09","2013","2013",6118,2157360,283.6
,"Connecticut","09","2014","2014",6033,2159058,279.4
,"Connecticut","09","2015","2015",6300,2154606,292.4
,"Connecticut","09","2016","2016",6419,2141551,299.7
,"Connecticut","09","2017","2017",6506,2137899,304.3
,"Delaware","10","2005","2005",1847,505589,365.3
,"Delaware","10","2006","2006",1915,513984,372.6
,"Delaware","10","2007","2007",1888,520765,362.5
,"Delaware","10","2008","2008",2017,526390,383.2
,"Delaware","10","2009","2009",1953,530670,368.0
,"Delaware","10","2010","2010",2017,534854,377.1
,"Delaware","10","2011","2011",2003,542336,369.3
,"Delaware","10","2012","2012",2062,544621,378.6
,"Delaware","10","2013","2013",2151,548303,392.3
,"Delaware","10","2014","2014",2048,551725,371.2
,"Delaware","10","2015","2015",2137,555955,384.4
,"Delaware","10","2016","2016",2176,555723,391.6
,"Delaware","10","2017","2017",2341,558003,419.5
,"District of Columbia","11","2005","2005",1911,372375,513.2
,"District of Columbia","11","2006","2006",1852,377869,490.1
,"District of Columbia","11","2007","2007",1774,382721,463.5
,"District of Columbia","11","2008","2008",1799,388584,463.0
,"District of Columbia","11","2009","2009",1654,399179,414.4
,"District of Columbia","11","2010","2010",1579,409194,385.9
,"District of Columbia","11","2011","2011",1564,419783,372.6
,"District of Columbia","11","2012","2012",1488,428225,347.5
,"District of Columbia","11","2013","2013",1504,439371,342.3
,"District of Columbia","11","2014","2014",1590,446802,355.9
,"District of Columbia","11","2015","2015",1644,455463,361.0
,"District of Columbia","11","2016","2016",1747,460538,379.3
,"District of Columbia","11","2017","2017",1697,464558,365.3
,"Florida","12","2005","2005",39879,10434440,382.2
,"Florida","12","2006","2006",40771,10667079,382.2
,"Florida","12","2007","2007",40717,10794153,377.2
,"Florida","12","2008","2008",41153,10864673,378.8
,"Florida","12","2009","2009",41143,10933282,376.3
,"Florida","12","2010","2010",41065,11028718,372.3
,"Florida","12","2011","2011",41159,11215252,367.0
,"Florida","12","2012","2012",41450,11330694,365.8
,"Florida","12","2013","2013",41542,11410237,364.1
,"Florida","12","2014","2014",42765,11581688,369.2
,"Florida","12","2015","2015",44425,11761297,377.7
,"Florida","12","2016","2016",47103,11904769,395.7
,"Florida","12","2017","2017",47724,12095162,394.6
,"Georgia","13","2005","2005",20832,5446774,382.5
,"Georgia","13","2006","2006",21289,5580448,381.5
,"Georgia","13","2007","2007",21270,5685952,374.1
,"Georgia","13","2008","2008",21450,5768709,371.8
,"Georgia","13","2009","2009",21899,5836955,375.2
,"Georgia","13","2010","2010",21990,5873989,374.4
,"Georgia","13","2011","2011",22089,5960170,370.6
,"Georgia","13","2012","2012",22145,6002013,369.0
,"Georgia","13","2013","2013",22822,6023315,378.9
,"Georgia","13","2014","2014",23091,6072709,380.2
,"Georgia","13","2015","2015",23633,6126030,385.8
,"Georgia","13","2016","2016",24605,6164575,399.1
,"Georgia","13","2017","2017",24616,6221788,395.6
,"Hawaii","15","2005","2005",2304,787368,292.6
,"Hawaii","15","2006","2006",2338,800160,292.2
,"Hawaii","15","2007","2007",2312,802602,288.1
,"Hawaii","15","2008","2008",2303,812585,283.4
,"Hawaii","15","2009","2009",2449,818745,299.1
,"Hawaii","15","2010","2010",2373,826862,287.0
,"Hawaii","15","2011","2011",2468,834583,295.7
,"Hawaii","15","2012","2012",2477,845421,293.0
,"Hawaii","15","2013","2013",2427,844975,287.2
,"Hawaii","15","2014","2014",2564,850748,301.4
,"Hawaii","15","2015","2015",2513,852347,294.8
,"Hawaii","15","2016","2016",2485,845558,293.9
,"Hawaii","15","2017","2017",2553,838048,304.6
,"Idaho","16","2005","2005",2350,824879,284.9
,"Idaho","16","2006","2006",2444,848494,288.0
,"Idaho","16","2007","2007",2484,868288,286.1
,"Idaho","16","2008","2008",2544,882320,288.3
,"Idaho","16","2009","2009",2739,891894,307.1
,"Idaho","16","2010","2010",2677,897633,298.2
,"Idaho","16","2011","2011",2762,907389,304.4
,"Idaho","16","2012","2012",2736,911966,300.0
,"Idaho","16","2013","2013",3020,917557,329.1
,"Idaho","16","2014","2014",2936,926294,317.0
,"Idaho","16","2015","2015",3046,934028,326.1
,"Idaho","16","2016","2016",3055,946266,322.8
,"Idaho","16","2017","2017",3091,962193,321.2
,"Illinois","17","2005","2005",24478,7539673,324.7
,"Illinois","17","2006","2006",24394,7583582,321.7
,"Illinois","17","2007","2007",24310,7622192,318.9
,"Illinois","17","2008","2008",24892,7654899,325.2
,"Illinois","17","2009","2009",24636,7695008,320.2
,"Illinois","17","2010","2010",24165,7724897,312.8
