spec,method,se
did_eq,unit,2.2570592850237086
did_eq,cluster,3.9188543857625033
did_eq_x,unit,2.168954668190996
did_eq_x,cluster,3.9687335284574528
sdid_eq,unit,2.4162778267683915
sdid_eq,cluster,3.4479985181221844
sdid_eq_x,unit,2.198111244114405
sdid_eq_x,cluster,3.648754923054278
did_w,unit,2.2527255757076228
did_w,cluster,4.752906064778242
did_w_x,unit,2.4571894089064394
did_w_x,cluster,5.798132629787307
sdid_w,unit,2.2052826461305446
sdid_w,cluster,4.66294335958413
sdid_w_x,unit,2.508627240537271
sdid_w_x,cluster,5.163616967522747
