onset_year,weighting,stratum,pop_lo,pop_hi,N1,N0,share,estimate,se_cluster
2014,wt,4,38457.75,118779.90000000005,198,225,0.13421801576486111,2.67341767891822,3.878940780336428
2014,wt,5,118779.90000000005,6221536,162,121,0.7586698118401793,-6.946167382026468,4.0856229414025895
2014,wt,1,60,6137.75,233,473,0.008239121034213258,0.43237410892291184,6.046310420687043
2014,wt,3,14524,38457.75,292,414,0.06989775550140456,2.01978244963742,4.8097546961794455
2014,wt,2,6137.75,14524,296,410,0.028975295859341745,-0.005921782563996558,6.353504947987095
2014,wt,aggregate,NA,NA,1181,1643,1,-4.766457627512853,3.925696328744003
2011,wt,4,38457.75,118779.90000000005,198,225,0.13421801576486111,3.397132039263476,NA
2011,wt,5,118779.90000000005,6221536,162,121,0.7586698118401793,-1.2594074710256764,NA
2011,wt,1,60,6137.75,233,473,0.008239121034213258,-0.15047239440950835,NA
2011,wt,3,14524,38457.75,292,414,0.06989775550140456,0.6014688757655512,NA
2011,wt,2,6137.75,14524,296,410,0.028975295859341745,3.8861988596233026,NA
2011,wt,aggregate,NA,NA,1181,1643,1,-0.346112781596047,2.148551678416853
2012,wt,4,38457.75,118779.90000000005,198,225,0.13421801576486111,4.024183004091391,NA
2012,wt,5,118779.90000000005,6221536,162,121,0.7586698118401793,-2.5214066420301258,NA
2012,wt,1,60,6137.75,233,473,0.008239121034213258,-0.5262990963210465,NA
2012,wt,3,14524,38457.75,292,414,0.06989775550140456,2.8285389593827865,NA
2012,wt,2,6137.75,14524,296,410,0.028975295859341745,-3.3086763871390374,NA
2012,wt,aggregate,NA,NA,1181,1643,1,-1.275294839363572,1.8885173131321866
2014,eq,4,38457.75,118779.90000000005,198,225,0.1676545300592718,3.5681172401022945,3.8953480566300365
2014,eq,5,118779.90000000005,6221536,162,121,0.1371718882303133,-3.4061210446328456,4.148720587038557
2014,eq,1,60,6137.75,233,473,0.1972904318374259,1.9439105301898856,7.133498132413247
2014,eq,3,14524,38457.75,292,414,0.2472480948348857,2.3967988254429287,4.963366890255345
2014,eq,2,6137.75,14524,296,410,0.2506350550381033,-0.3909656389685381,5.922969483825977
2014,eq,aggregate,NA,NA,1181,1643,1,1.0091161606592924,3.85829201605748
2011,eq,4,38457.75,118779.90000000005,198,225,0.1676545300592718,3.209743832569542,NA
2011,eq,5,118779.90000000005,6221536,162,121,0.1371718882303133,2.019715026812299,NA
2011,eq,1,60,6137.75,233,473,0.1972904318374259,-0.5354449774659773,NA
2011,eq,3,14524,38457.75,292,414,0.2472480948348857,0.5482512917579355,NA
2011,eq,2,6137.75,14524,296,410,0.2506350550381033,2.603314186100481,NA
2011,eq,aggregate,NA,NA,1181,1643,1,1.4975739286383138,3.1615716132256635
2012,eq,4,38457.75,118779.90000000005,198,225,0.1676545300592718,3.3677216917099884,NA
2012,eq,5,118779.90000000005,6221536,162,121,0.1371718882303133,1.0318507087076103,NA
2012,eq,1,60,6137.75,233,473,0.1972904318374259,-3.8597902283098566,NA
2012,eq,3,14524,38457.75,292,414,0.2472480948348857,1.794942624258038,NA
2012,eq,2,6137.75,14524,296,410,0.2506350550381033,-4.3359821332335,NA
2012,eq,aggregate,NA,NA,1181,1643,1,-0.6982979496873454,2.7219736711836915
