window,onset,variant,spec,estimate,se,n
2009-2013,2011,fixed,base,-9.828476356636783,3.5017778191976214,12470
2009-2013,2011,fixed,controls,-7.681099151558783,3.0754361459592747,12470
2009-2013,2012,fixed,base,-7.217233699275126,2.5754686653114662,12470
2009-2013,2012,fixed,controls,-5.1030104362500195,2.053708391666985,12470
2005-2013,2009,fixed,base,-11.683968738508492,4.33200653789686,22446
2005-2013,2009,fixed,controls,-7.2605675370673834,3.3977972660846003,22414
2005-2013,2010,fixed,base,-13.556620763547308,4.407340904850175,22446
2005-2013,2010,fixed,controls,-8.861140550490326,2.8782078628421073,22414
2005-2013,2011,fixed,base,-13.641249151186921,4.500263028667103,22446
2005-2013,2011,fixed,controls,-8.671312587895782,2.761262917364041,22414
2005-2013,2012,fixed,base,-12.185426495866553,4.067137322067677,22446
2005-2013,2012,fixed,controls,-7.112682221383524,2.418043841726221,22414
2005-2013,2009,reestimated,base,-11.599279109804234,4.379226707276393,22104
2005-2013,2009,reestimated,controls,-6.570557700334234,3.317157073218603,22104
2005-2013,2010,reestimated,base,-13.782134211389984,4.293236928462986,22401
2005-2013,2010,reestimated,controls,-8.794518624707077,2.8728618575489784,22369
2005-2013,2011,reestimated,base,-13.672633645999037,4.36263169585272,22464
2005-2013,2011,reestimated,controls,-8.450361997580337,2.7252288433004606,22432
2005-2013,2012,reestimated,base,-12.073803184972123,3.999786521967418,22509
2005-2013,2012,reestimated,controls,-6.779359032115617,2.4337060094260496,22477
2009-2013,2011,reestimated,base,-9.804969227305245,3.5653903295093903,12470
2009-2013,2011,reestimated,controls,-7.904687158783867,3.222881898178629,12470
2009-2013,2012,reestimated,base,-7.564219058531356,2.5917688221395205,12510
2009-2013,2012,reestimated,controls,-5.700966225615273,2.1731623247698817,12510
