relative_time,estimate,time,se,ci_lower,ci_upper,Weighting,Estimator,year
-5,-0.6824331220989777,2009,2.680816077024218,-5.936736082242399,4.571869838044444,Equally weighted,DID,2009
-4,-0.5498690832230935,2010,3.289033815983803,-6.996256906485685,5.8965187400394985,Equally weighted,DID,2010
-3,2.4106425639952462,2011,2.71632501083506,-2.9132566275468417,7.734541755537334,Equally weighted,DID,2011
-2,6.170071725156745,2012,2.4226129123999716,1.4218376683711131,10.918305781942378,Equally weighted,DID,2012
-1,-7.348412083829906,2013,2.852900464166927,-12.939994245074686,-1.7568299225851272,Equally weighted,DID,2013
0,-5.232310508603732,2014,3.8228824064286475,-12.725022342335691,2.260401325128229,Equally weighted,DID,2014
1,0.2958210973039854,2015,4.483545423753133,-8.491766456301528,9.0834086509095,Equally weighted,DID,2015
2,6.560501659548045,2016,5.512301008297158,-4.243409788658209,17.3644131077543,Equally weighted,DID,2016
3,-2.1332447379459225,2017,6.354460902492993,-14.587759248000074,10.321269772108229,Equally weighted,DID,2017
-5,6.051172621036358,2009,2.682707808220395,0.7931619358799988,11.309183306192717,Population weighted,DID,2009
-4,3.5849013971873944,2010,2.092044849185314,-0.5154311612583493,7.685233955633138,Population weighted,DID,2010
-3,0.17573994120259329,2011,2.1135627737903446,-3.9667669744910583,4.318246856896245,Population weighted,DID,2011
-2,-0.4022642654499293,2012,1.5413074084215677,-3.4231712750609686,2.61864274416111,Population weighted,DID,2012
-1,-9.40954969397643,2013,2.293929416370135,-13.90556873313888,-4.9135306548139805,Population weighted,DID,2013
0,-17.52766526781116,2014,3.6877207469841866,-24.75546511694131,-10.299865418681009,Population weighted,DID,2014
1,-17.753720672280764,2015,4.948447334461248,-27.452499227218038,-8.05494211734349,Population weighted,DID,2015
2,-14.270353966616057,2016,6.464146928160092,-26.93984913658506,-1.6008587966470547,Population weighted,DID,2016
3,-24.015512822366333,2017,7.749680698016755,-39.204607882164396,-8.82641776256827,Population weighted,DID,2017
-5,-0.13078492741321668,2009,1.0343723486083758,-2.1581174772897422,1.8965476224633089,Equally weighted,SDID,2009
-4,-0.19605127417619173,2010,1.280631240454108,-2.706042382943097,2.3139398345907134,Equally weighted,SDID,2010
-3,0.5484784963648224,2011,0.9038363854734948,-1.2230082670800881,2.3199652598097327,Equally weighted,SDID,2011
-2,1.7895043412044913,2012,1.004080324297923,-0.1784569320047351,3.757465614413718,Equally weighted,SDID,2012
-1,-2.4460004476739527,2013,1.0937196210689344,-4.589651514153859,-0.30234938119404653,Equally weighted,SDID,2013
0,-5.898135695968463,2014,3.9074970500585655,-13.556689183779755,1.760417791842828,Equally weighted,SDID,2014
1,0.4035856091746055,2015,5.0183497596870295,-9.432199181637205,10.239370399986417,Equally weighted,SDID,2015
2,5.741610785681203,2016,5.619584868002374,-5.272573163669721,16.755794735032126,Equally weighted,SDID,2016
3,-3.0872587322063083,2017,6.642971545373931,-16.107243711463596,9.93272624705098,Equally weighted,SDID,2017
-5,1.8114400277064107,2009,1.2556987087064801,-0.6496842167917425,4.272564272204564,Population weighted,SDID,2009
-4,1.2771233593429372,2010,0.941234762844093,-0.5676628768285839,3.1219095955144582,Population weighted,SDID,2010
-3,0.30594797053474565,2011,0.7564491565685546,-1.1766651324753215,1.7885610735448128,Population weighted,SDID,2011
-2,0.42734751249332703,2012,0.5818471513622613,-0.7130519486839302,1.5677469736705842,Population weighted,SDID,2012
-1,-2.7144468830549613,2013,1.047231102067603,-4.766982126597652,-0.6619116395122706,Population weighted,SDID,2013
0,-16.053477880975777,2014,3.573545831502716,-23.05749900782434,-9.049456754127213,Population weighted,SDID,2014
1,-16.439206217824875,2015,4.804974692840897,-25.85678356241944,-7.021628873230309,Population weighted,SDID,2015
2,-14.122866378238115,2016,6.359711814743325,-26.587672487188897,-1.6580602692873327,Population weighted,SDID,2016
3,-23.19002246262326,2017,7.51488177831311,-37.91892009619327,-8.461124829053254,Population weighted,SDID,2017
