fips,effect,pop
10001,-7.706882317814987,98343
10003,-26.02491925385374,336112
10005,-8.058590009563844,113848
11001,-35.32311013504892,439371
15001,-4.421773257375364,112180
15003,-30.478287334700497,594706
15005,363.62206175155205,63
15007,-33.50007461550754,40817
15009,-30.074998056902132,97209
17001,-3.278148309116773,38026
17003,166.76394361787817,4366
17005,54.46729135341239,10698
17007,21.501228470934393,30683
17009,-43.479137406294114,4800
17011,20.116353149866143,19130
17013,-176.28185390873657,2760
17015,-60.558659595359764,8265
17017,-37.123654839778396,7585
17019,-16.88762790271258,129768
17021,-40.68255262955853,19942
17023,-10.008668879242704,9158
17025,7.218076007137393,7710
17027,-6.205615578766697,22924
17029,-44.28644895425761,33018
17031,-22.193023404695793,3242808
17033,5.892983907345041,11678
17035,-14.833542931027893,6269
17037,-25.026188735406294,64616
17039,56.426945478750824,9570
17041,71.22923170884714,11149
17043,-26.76470422755139,564579
17045,-53.07277130444491,10206
17047,-83.16157563788298,3763
17049,-35.34918756927067,19737
17051,18.936152175914344,13013
17053,-15.405571674451163,7634
17055,20.143071629841288,22115
17057,-20.34375713731281,21290
17059,-114.23757565584592,3040
17061,93.30239229964289,7881
17063,-5.376791984140169,29628
17065,-150.2143494289101,4619
17067,17.39084725737395,10329
17069,101.9813920823707,2305
17071,52.40038050703234,3895
17073,-17.16790056412482,28163
17075,62.422578348007576,15958
17077,-13.90250083224376,38317
17079,34.2082685931566,5501
17081,-61.004872727384694,22743
17083,21.488060959887132,13213
17085,43.76465652688515,12228
17087,-20.093147232838035,7651
17089,-21.963877254318845,306232
17091,23.85577743416419,65037
17093,-36.66877076937482,70074
17095,-28.572958848866346,30121
17097,-22.551461128331,415860
17099,28.437074715946082,65230
17101,16.77359686675254,10340
17103,-11.230837105890146,20898
17105,-14.969448622255953,22741
17107,68.09856403417804,18103
17109,-2.710014886178982,20037
17111,-5.418831926459262,185197
17113,-15.15935778402175,108171
17115,5.376606203829233,62882
17117,16.30189598898047,26986
17119,13.28774365931271,160495
17121,43.496373564480805,21919
17123,36.04361795830093,6809
17125,-84.74708968604646,7984
17127,57.04047772914525,8451
17129,-48.03605554459388,7312
17131,20.08396559616311,9026
17133,-23.79875296670943,19797
17135,-47.19506567536027,17526
17137,-53.61910324719811,20670
17139,-5.227229300799735,8092
17141,-18.419149350544146,30021
17143,-8.157650818417594,110654
17145,-6.764131250711145,13302
17147,8.939353856429122,9416
17149,24.29539989180786,9048
17151,-37.09378620226225,2525
17153,42.111191218102476,3332
17155,118.00002730291565,3393
17157,-29.584257866240407,20298
17159,-10.059226890823542,9090
17161,-25.18196826619875,85158
17163,-8.855883407256467,159199
17165,-9.801991906488126,14124
17167,-2.4024578385664057,118628
17169,54.87553974144649,4361
17171,74.15584008276262,2985
17173,14.58056931297017,12367
17175,112.99413219407681,3138
17177,23.720871697608644,26089
17179,12.876971712382243,79506
17181,22.531160925739414,10195
17183,56.444049011718604,45459
17185,-101.88234951306538,6711
17187,-62.51205907460809,9916
17189,48.87155040290139,8473
17191,-84.81780105448394,9224
17193,79.12252553483827,7974
17195,-17.07655815654497,32506
17197,-14.613103124831468,404656
17199,-53.24219479354026,39362
17201,6.81438358889865,169422
17203,-15.675470212970964,22215
19001,-22.774736043287405,4039
19003,-108.66239604041478,2171
19005,-40.63611318139753,7801
19007,-16.274963795919795,6958
19009,210.38430861071288,3122
19011,-14.697618215455549,14663
19013,-0.01669647796276763,79905
19015,-73.09151140276873,15313
19017,-6.860235857073803,13675
19019,-81.14843593365154,11613
19021,-129.15220728949043,11615
19023,29.937031967522273,8058
19025,-10.431141278027624,5437
19027,15.351419293363094,11263
19029,-4.273029168771128,7336
19031,-62.92198762069387,10414
19033,54.72705957239779,25099
19035,46.47698886218928,6561
19037,-75.48240056014282,6736
19039,-28.61013346088354,5204
19041,-41.06794902053646,9225
19043,31.973050403482205,9819
19045,-9.013517879136522,27479
19047,-50.42176296469964,9444
19049,-8.555316650551788,43771
19051,-38.43950071453938,4527
19053,17.433637721414264,4438
19055,-42.02220263832416,9809
19057,-16.10916147822263,22800
19059,14.78280363445083,9421
19061,-23.233468576276834,55465
19063,-30.349109601648166,5627
19065,-7.185641779339349,11271
19067,-8.744075325371227,8677
19069,-81.234051271871,5826
19071,8.023281259512622,3891
19073,-106.5409173340496,4967
19075,9.095041268641353,6746
19077,-7.058616433393254,5816
19079,-0.4723770894978827,8510
19081,-107.97605825686988,6122
19083,-24.215895218625064,9354
19085,-52.524194554534574,8110
19087,-36.93967722674306,11587
19089,-60.97999065580903,5072
19091,43.284545924966906,5269
19093,-92.0533897009974,3767
19095,-30.386091485105652,9188
19097,-82.65240194246974,10897
19099,21.851869048026032,21112
19101,-73.35897969802643,10509
19103,-32.56141887641718,90468
19105,-62.32246843651147,11983
19107,20.781158487384523,5673
19109,-33.45918553953558,8194
19111,35.54358337147546,20820
19113,-6.560021119063322,128558
19115,-11.31542348848933,6491
19117,45.394824676561235,4683
19119,4.624124511725881,6230
19121,-35.338930482233025,8646
19123,47.89818296036168,12689
19125,-59.2003698289201,18545
19127,-96.17095981406989,22643
19129,-7.805240546125823,8595
19131,14.461820401006264,5579
19133,2.73590919304975,4761
19135,28.21591386349546,4446
19137,85.42446422624889,5646
19139,-17.636690395762486,24548
19141,-22.201238293279573,7609
19143,65.2330207380629,3408
19145,-66.9307737717507,8960
19147,4.730854343725426,4953
19149,-8.052367260855334,13730
19151,-102.95090470148082,3824
19153,-20.71918741318609,274853
19155,9.40283971403413,53934
19157,16.858681022995995,10327
19159,49.05014944916461,2505
19161,-24.404441710237386,5342
19163,-29.3400518286289,101162
19165,3.7543381558749758,6321
19167,-13.611817708830017,18763
19169,-1.543757048693351,59003
19171,36.45609960724342,9519
19173,27.636613899435048,3333
19175,109.50185116278463,6937
19177,125.56060484275713,4048
19179,-28.457292936736724,20487
19181,-10.68722185513218,26954
19183,-42.494842390904935,12056
19185,-9.419699817878382,3301
19187,9.601718131285189,21278
19189,29.349767503656054,5904
19191,-3.310640390194692,12005
19193,-32.70225783113817,58539
19195,26.614278549446652,4240
19197,-61.40032857623078,6936
21001,-42.334690530722575,10977
21003,-20.499693246481556,11800
21005,82.39937956345496,13031
21007,-3.43108212939282,4727
21009,34.419242352855576,24768
21011,4.733756964450521,6829
21013,22.79746516542241,16630
21015,-9.562005403297093,74040
21017,10.130650387449123,11491
21019,85.89329957979487,29009
21021,22.066602407323334,16844
21023,129.17676572196706,4948
21025,145.75113612537683,8321
21027,54.17172852945956,11469
21029,35.82911285791724,46934
21031,31.24847286954828,7380
21033,-41.65843378156872,7275
21035,-44.135469044505186,22868
21037,25.46822055333113,55651
21039,46.85812020435148,2772
21041,91.53799224637089,6335
21043,51.071355524915305,16041
21045,83.41989634306019,9100
21047,-31.517787045309248,43370
21049,13.467510670595985,20997
21051,-31.780467567951234,13571
21053,-41.090605656064156,5834
21055,-4.725811839865031,5233
21057,-88.78615708467173,3768
21059,15.940722758823611,56577
21061,92.21696262149037,7022
21063,59.888052030304586,4750
21065,143.61957034375502,8605
21067,24.6337067813419,197598
21069,-54.83587562231921,8415
21071,39.66267902999755,23573
21073,23.376164602558987,29908
21075,-117.5819170328283,3740
21077,132.89858860061616,5018
21079,86.02434399170454,10074
21081,42.10416111234389,14357
21083,-7.609499494717539,21071
21085,-62.46957462718174,15167
21087,9.525514967737024,6472
21089,33.27031995107956,20998
21091,-114.5987618308987,4945
21093,1.700832700821607,65069
21095,40.703521334458685,17047
21097,-43.47315601823563,10859
21099,26.34756105221988,10620
21101,25.62703302883227,27485
21103,15.636686120200807,8968
21105,-78.52362740686809,2604
21107,46.469492846080286,27213
21109,-47.30558496032569,8084
21111,17.136333313279973,460002
21113,76.2479354807165,29682
21115,15.11488974256875,14049
21117,47.82689234927095,99469
21119,-6.6853402358058815,9809
21121,66.70593313788402,18292
21123,12.265355421794565,8247
21125,44.375185252251015,35703
21127,-45.26804334071295,9465
21129,4.369389802469755,4571
21131,58.98983352794227,6781
21133,30.449338536338587,14317
21135,53.55760082234406,8120
21137,66.26372933186249,14113
21139,69.0899494983322,5479
21141,-0.24123783956328992,15344
21143,120.87038159840243,5076
21145,-36.423418725902195,38117
21147,60.376731139434156,11129
21149,28.338471615045492,5324
21151,15.149061387407173,52484
21153,20.91060187670891,7868
21155,-43.63366262120235,11912
21157,43.55114458599762,17801
21159,-35.45885551882384,8123
21161,17.97969302733358,10042
21163,57.03784720629595,17734
21165,-22.996040396277294,3638
21167,36.51669719236237,12200
21169,77.16773268647182,5664
21171,-65.68505986242644,6115
21173,81.90190887037436,16285
21175,-52.15296012559294,8696
21177,-0.09915497674099072,18394
21179,14.972290476723387,26515
21181,24.47279551975717,4070
21183,38.81439378077219,13690
21185,-14.405518135715056,37161
21187,-53.6502662642139,6211
21189,90.1640886004169,2768
21191,-56.09334510382935,8884
21193,36.173140991149864,17306
21195,-4.889549426485701,38771
21197,119.88783981550398,7474
21199,38.84087716684252,37010
21201,-141.14869010928845,1258
21203,-56.79657250359837,9905
21205,57.20626436643048,14333
21207,38.2332294331957,10133
21209,42.69995966720599,30340
21211,29.40899477586197,26327
21213,25.955184408198576,10292
21215,-0.6279210874815533,10833
21217,5.486819269532688,14089
21219,-65.88075850040843,6959
21221,-47.58803220209434,7947
21223,173.9084291246857,5162
21225,56.73526125235425,8866
21227,-4.283208380733413,72351
21229,48.58242520001652,6788
21231,84.73646393325583,12101
21233,-78.9824601389955,7992
21235,114.74561272513549,20694
21237,22.112304848451913,4165
21239,-15.682104095353111,15078
24001,21.25132533248202,44012
24003,-15.638901386705555,342995
24005,12.060077241070147,494505
24009,-3.38372469133796,54549
24011,18.613770086782967,19226
24013,7.867233818557082,99710
24015,24.164910966017107,61745
24017,-20.030748127706374,93952
24019,57.88444374970672,18818
24021,-15.313816266719556,146459
24023,26.616141032430136,17344
24025,-5.14318273145966,150057
24027,-20.473219793090493,185562
24029,-54.19674696119695,10899
24031,-14.98600301329327,618603
24033,-31.776277804094264,563547
24035,29.13287542848596,28320
24037,-32.04882579552083,66279
24039,-11.98655505034911,16585
24041,-43.187643914564376,20294
24043,26.2313598510043,90053
24045,8.61526151282321,59545
24047,41.546905350092615,28556
24510,13.658427158845882,397209
25001,12.271620795954263,117538
25003,27.42846819658247,75624
25005,10.676718256042093,334362
25007,-0.6682603968395426,10458
25009,-1.326812792788246,456135
25011,18.820758185856448,44181
25013,-15.002797747139283,275492
25015,-30.721243381156455,99159
25017,-26.22735790220645,970253
25019,36.81318324876014,6719
25021,-13.947551994366165,413447
25023,10.177445201037443,295382
25025,-38.81794626331043,510888
25027,10.861258989989125,492670
26001,26.82754475949818,5349
26003,-27.342242619463512,5696
26005,5.443170510159192,65102
26007,9.89845221931413,16658
26009,-40.06920326588099,12547
26011,25.51709780861546,8847
26013,68.2648781528204,5241
26015,-6.383964319956533,34169
26017,-12.976116122762036,62871
26019,-68.70145155913835,9660
26021,20.192314325583887,89109
26023,-18.78529056069172,25195
26025,-1.4647949765746375,78277
26027,-26.95976121060807,29637
26029,-3.667987346550163,14750
26031,-49.406062818561416,14338
26033,-8.542805702861855,23958
26035,43.06807735154153,17289
26037,-36.75154734618002,45706
26039,46.307179349399895,7796
26041,-43.76890030044676,20999
26043,-12.913095102946428,15072
26045,-11.2942226486404,64430
26047,5.503548211611005,19072
26049,6.95491139307056,243025
26051,-28.128859324971515,13814
26053,-28.540675106138508,9433
26055,-33.84863570968642,54137
26057,-18.812516281335192,25194
26059,4.781056983464012,26361
26061,14.073560464154042,20828
26063,74.80451188999214,17821
26065,-17.349338038319956,176041
26067,-15.583201628866505,39257
26069,-16.275413509572502,13656
26071,-3.93834661803378,6160
26073,-28.442024172635797,44505
26075,12.99687966625406,95342
26077,-29.451585964713786,156898
26079,-68.2310591190548,9922
26081,-28.577950323040454,373100
26083,27.224242402442698,1121
26085,44.37182050469247,6286
26087,-18.398397040122518,52622
26089,16.85476615850044,11589
26091,17.88252086283751,58234
26093,-23.727498607662994,110186
26095,34.842845598324004,3972
26097,26.4716239751062,6193
26099,-9.467131128474833,515967
26101,-11.18217222857633,14087
26103,12.20059086706084,41622
26105,-79.74304718976404,16179
26107,7.392974710622724,24986
26109,-37.609581193764306,13628
26111,4.32089341834245,49576
26113,23.332660386011668,8363
26115,2.8636671521159798,89675
26117,0.0374138764330425,37239
26119,34.09941448139617,5044
26121,7.1671612510448455,100250
26123,-25.84684077935817,27336
26125,-24.835244168157857,746206
26127,18.582314263837148,14416
26129,63.393251796423726,11715
26131,43.800789904229504,3405
26133,-23.050537267470578,12892
26135,-22.873313402498624,4446
26137,52.99123206382376,13747
26139,-24.267710123686072,157627
26141,4.999518351040635,6990
26143,95.32554668393294,12812
26145,-2.6913432265670423,113913
26147,-4.0216084614902625,94922
26149,4.081738867125047,34346
26151,1.274832138644733,23467
26153,-8.231592071123956,4607
26155,-38.497105313004155,40534
26157,18.238033863322237,31668
26159,-8.25374748078422,43602
26161,-29.821589667452002,224506
26163,-2.069038901701475,1057887
26165,-50.34166162055211,18628
27001,64.26304101220123,8110
27003,-16.973580337555518,209113
27005,-73.79597416433575,18153
27007,-20.923475665713198,25965
27009,14.729002655702317,23629
27011,6.934658025617722,2665
27013,-2.8266931012805117,40532
27015,-57.523637892433186,14076
27017,-2.6846975436623524,20855
27019,-23.983388815331693,56751
27021,26.39924157133914,15274
27023,-71.57833187961597,6639
27025,6.785208888382812,32423
27027,4.760625037258848,35901
27029,82.37922029488394,4790
27031,39.00786256185644,3004
27033,-13.64336132848662,6054
27035,-16.088945034868303,35104
27037,-32.5533566414322,248423
27039,0.6728310474067314,11517
27041,20.485070249737646,20313
27043,72.1082081916938,7692
27045,-11.891767629782578,11297
27047,39.06335787992137,16999
27049,4.490238458771046,26273
27051,48.94543556868541,3205
27053,-28.685696942518604,755414
27055,-8.439767170742698,10718
27057,-48.99033165664014,11158
27059,27.12507016897129,22459
27061,-14.401502243071292,25568
27063,-80.85295713555524,5680
27065,-11.16820454744564,9175
27067,3.668998536976261,24199
27069,130.15612558828056,2386
27071,-16.619646971633372,7480
27073,-60.33211372764465,3674
27075,-60.29651306808124,5989
27077,-59.19521638009519,2264
27079,-30.423224431432857,15934
27081,19.78926250090666,2953
27083,-15.298720921173896,14718
27085,-47.28024328338921,20344
27087,260.3480027743557,2799
27089,-8.440729213659836,5191
27091,12.208048531643598,11207
27093,-5.121443104713023,12830
27095,10.397366614747945,14440
27097,-64.9793374229923,18684
27099,-1.2271699078347638,21805
27101,24.1226115897512,4478
27103,-81.80839273519834,19821
27105,4.068528096302828,11978
27107,55.53209948516378,3493
27109,-15.633699049518043,88600
27111,-31.75845341289572,31428
27113,-82.4978508795035,8216
27115,45.95323820084661,17215
27117,28.318891883960177,4912
27119,-28.421590201630877,17870
27121,-61.98870346548166,5985
27123,-24.23274198800533,321110
27125,-13.575343966977528,2273
27127,4.973385371250387,8322
27129,-36.10925727786195,8363
27131,-25.912654861339917,38484
27133,-111.29730826128119,5007
27135,-3.8662378291224115,8896
27137,-23.915645761489884,120811
27139,-31.325783734917593,81887
27141,-37.745684265875525,54254
27143,-26.778104496242577,8427
27145,-23.838656248136488,90640
27147,-9.040379159446275,20639
27149,-41.605518554882394,5393
27151,-16.173246298088145,5263
27153,-7.045344790298401,13391
27155,15.685359792183192,1742
27157,-38.7484212590081,12198
27159,150.45698987811525,7161
27161,-2.1832839652485347,11299
27163,-17.306978988902756,147523
27165,-27.545341904392075,5994
27167,9.587738551979555,3642
