weighting,county_rank,county_fips,pop_weight,estimate,se
Population weighted,1,6037,0.061345200416366,-16.71232038849235,4.463240157471532
Population weighted,2,17031,0.03197453276358041,-17.30573014521142,4.72761001304301
Population weighted,3,4013,0.023173166968886456,-17.540406090190253,4.7124601195256375
Population weighted,4,6073,0.019676495987949492,-16.993549802945488,4.416209264463591
Population weighted,5,6059,0.018779272776207695,-17.2669494367858,4.533422278746779
Population weighted,6,36047,0.01595897764730493,-16.826437399840536,4.460488344623597
Population weighted,7,36081,0.014485725202858525,-17.125334294618376,4.612115886576658
Population weighted,8,53033,0.013048038274371815,-17.1933243815891,4.758719005352214
Population weighted,9,6065,0.012935455224405687,-17.37322336510067,4.696367183516413
Population weighted,10,6071,0.012187425753164631,-17.442804583010577,4.788770798531276
Population weighted,11,32003,0.01213210052165649,-17.35690748839876,4.858283153479468
Population weighted,12,6085,0.011422446705562412,-17.214091140152284,4.588992144091737
Population weighted,13,36061,0.011042565188129846,-17.08211012229767,4.638628151061452
Population weighted,14,26163,0.010430911278640544,-17.619943479706038,4.678580288219112
Population weighted,15,6001,0.009898030007632536,-17.09331295730248,4.545661678342643
Population weighted,16,25017,0.009566827989033634,-17.369576199573075,4.6573696833118605
Population weighted,17,36103,0.008841220470465812,-17.489413118860284,4.598842757798849
Population weighted,18,6067,0.008714803647588273,-17.37446516539832,4.580518827877143
Population weighted,19,36005,0.00840366700880029,-17.225018773404315,4.54483628324134
Population weighted,20,36059,0.007850020288218918,-17.341153219905564,4.683884074418064
Population weighted,21,39049,0.007515386941770287,-17.487804279952663,4.818360738268073
Population weighted,22,27053,0.007448485908838059,-17.369458229596148,4.9329971937688315
Population weighted,23,39035,0.0074121808825659205,-17.612637593447282,4.802692997308479
Population weighted,24,26125,0.0073576937627452136,-17.392271749148982,4.982445528424463
Population weighted,25,6013,0.006464996354115559,-17.289148492483413,4.721662594600854
Population weighted,26,24031,0.006099510637431859,-17.469002377564486,4.88154203921371
Population weighted,27,15003,0.005863882931612926,-17.374246717350978,4.941712605473875
Population weighted,28,6075,0.005837083077890038,-17.211816125417563,4.778497937253708
Population weighted,29,4019,0.005656366477804278,-17.43317489598094,4.802049055939848
Population weighted,30,36119,0.005600577819833675,-17.334963308101138,4.798384405514258
Population weighted,31,17043,0.005566826569173834,-17.395700892411696,4.673373690233907
Population weighted,32,24033,0.005556650907274636,-17.37907732136675,4.692880262565657
Population weighted,33,9001,0.0054790417650182515,-17.399022370467904,4.742660883063101
Population weighted,34,34003,0.005468708340919066,-17.3671093164575,4.852265249825626
Population weighted,35,36029,0.005447982331895699,-17.51555015965686,4.757290864025212
Population weighted,36,6019,0.005370343609226817,-17.43057516407555,4.698708948039284
Population weighted,37,9003,0.0053095755818191055,-17.44462999851033,4.6635776089999395
Population weighted,38,9009,0.005120024298534042,-17.448768271084028,4.5355197791129225
Population weighted,39,26099,0.005087505565061604,-17.490045497390348,4.486450318409483
Population weighted,40,34023,0.0050379583741280085,-17.349044172228567,4.675570992571317
Population weighted,41,25025,0.005037425926703051,-17.345869217619935,4.802399367512987
Population weighted,42,41051,0.00501726194551714,-17.317492878776243,4.713837807539924
Population weighted,43,53053,0.004939554201885763,-17.42423163134267,4.88054027893655
Population weighted,44,6111,0.0049272093097367355,-17.354439902267124,4.899052813161866
Population weighted,45,6029,0.0049152391028126794,-17.517343553247528,4.978813656438441
Population weighted,46,24005,0.00487588729405328,-17.593834100398986,4.8438665830528995
Population weighted,47,25027,0.004857793941742206,-17.59092042868476,4.910615914059909
Population weighted,48,39061,0.004759182706612477,-17.622963298044887,4.784388889252168
Population weighted,49,34013,0.004739284949139044,-17.410344352434144,4.907856165183259
Population weighted,50,53061,0.004610038266799229,-17.389620801245123,4.8662426176958
Equally weighted,1,6037,0.061345200416366,-0.6863655671744944,3.8233717056673755
Equally weighted,2,17031,0.03197453276358041,-0.6923167500115852,3.8485362333734296
Equally weighted,3,4013,0.023173166968886456,-0.6994493016255454,3.8382554444655534
Equally weighted,4,6073,0.019676495987949492,-0.6764298796503603,3.939680453958138
Equally weighted,5,6059,0.018779272776207695,-0.6882105075060387,3.9088846140418134
Equally weighted,6,36047,0.01595897764730493,-0.6630540147359589,3.8053915161618805
Equally weighted,7,36081,0.014485725202858525,-0.6773695825873212,3.8259116524473966
Equally weighted,8,53033,0.013048038274371815,-0.6787710308889068,3.808047152816245
Equally weighted,9,6065,0.012935455224405687,-0.6911368921472025,3.6428741143820385
Equally weighted,10,6071,0.012187425753164631,-0.6932983081482753,3.538967143780725
Equally weighted,11,32003,0.01213210052165649,-0.6896739858521208,3.664136721539112
Equally weighted,12,6085,0.011422446705562412,-0.677710471506483,3.700850062120633
Equally weighted,13,36061,0.011042565188129846,-0.667465655100262,3.754567359037224
Equally weighted,14,26163,0.010430911278640544,-0.7106417890765364,3.786016057341037
Equally weighted,15,6001,0.009898030007632536,-0.6671989254162689,3.729984904922273
Equally weighted,16,25017,0.009566827989033634,-0.6873479209599829,3.5617797808396903
