omega,weighting
5.5651945573891e-4,Equally weighted
6.201146939712022e-4,Equally weighted
5.598562072729249e-4,Equally weighted
5.591781617522027e-4,Equally weighted
6.108448926903001e-4,Equally weighted
5.273818322915566e-4,Equally weighted
6.305826158717283e-4,Equally weighted
5.813105310875365e-4,Equally weighted
6.315199488940584e-4,Equally weighted
5.873860424699508e-4,Equally weighted
6.238435749449774e-4,Equally weighted
5.548667831294137e-4,Equally weighted
5.752676569689686e-4,Equally weighted
5.684561044044202e-4,Equally weighted
5.595919571454594e-4,Equally weighted
6.498593880571576e-4,Equally weighted
5.743334045582371e-4,Equally weighted
6.469012977586269e-4,Equally weighted
6.206120551174904e-4,Equally weighted
6.002470100666495e-4,Equally weighted
6.238609615627646e-4,Equally weighted
6.038688447001881e-4,Equally weighted
6.411494644110402e-4,Equally weighted
6.583008825156153e-4,Equally weighted
6.029774660255781e-4,Equally weighted
6.178538960584297e-4,Equally weighted
6.203980146406011e-4,Equally weighted
6.231003953865584e-4,Equally weighted
6.055233765087928e-4,Equally weighted
6.188877985762256e-4,Equally weighted
5.752770675708735e-4,Equally weighted
6.624817910739971e-4,Equally weighted
5.501610904622185e-4,Equally weighted
6.985256950237777e-4,Equally weighted
5.573137368717413e-4,Equally weighted
6.507092859429041e-4,Equally weighted
6.180684580577927e-4,Equally weighted
6.190057675787096e-4,Equally weighted
6.056806962203105e-4,Equally weighted
6.095914038464093e-4,Equally weighted
5.800408687473924e-4,Equally weighted
6.428384262056663e-4,Equally weighted
5.759120378635266e-4,Equally weighted
5.612688561005217e-4,Equally weighted
6.11488751125099e-4,Equally weighted
6.008628741431828e-4,Equally weighted
6.608962953005335e-4,Equally weighted
6.207195334158145e-4,Equally weighted
5.909906407309445e-4,Equally weighted
6.12043267360884e-4,Equally weighted
5.809975612648925e-4,Equally weighted
6.172612195027191e-4,Equally weighted
6.88666379379982e-4,Equally weighted
6.528069887649443e-4,Equally weighted
5.378921077029611e-4,Equally weighted
6.26758265928848e-4,Equally weighted
6.746197096261639e-4,Equally weighted
5.785116493040777e-4,Equally weighted
6.235181231934165e-4,Equally weighted
5.737170585597801e-4,Equally weighted
5.608548196955086e-4,Equally weighted
5.140784221794641e-4,Equally weighted
6.120591208423323e-4,Equally weighted
6.549375790386192e-4,Equally weighted
5.615132830295835e-4,Equally weighted
4.96918075335144e-4,Equally weighted
6.349532876896619e-4,Equally weighted
6.004274345761206e-4,Equally weighted
6.23456195084927e-4,Equally weighted
5.760763818027897e-4,Equally weighted
5.582600051984048e-4,Equally weighted
6.116404423590113e-4,Equally weighted
6.167481002247119e-4,Equally weighted
6.57789227116174e-4,Equally weighted
6.168054936306177e-4,Equally weighted
6.274748881560665e-4,Equally weighted
6.150373001775496e-4,Equally weighted
6.324022530795396e-4,Equally weighted
6.039474180702872e-4,Equally weighted
6.411192782411349e-4,Equally weighted
5.146963487317909e-4,Equally weighted
6.09688772693112e-4,Equally weighted
6.040243279402119e-4,Equally weighted
5.8576959585201e-4,Equally weighted
5.726494746143278e-4,Equally weighted
5.785742817391973e-4,Equally weighted
6.332799593045148e-4,Equally weighted
5.498424096663301e-4,Equally weighted
6.585717231265572e-4,Equally weighted
5.987031080772473e-4,Equally weighted
6.327468268113365e-4,Equally weighted
5.634443506744016e-4,Equally weighted
6.155167546469416e-4,Equally weighted
5.80782509839871e-4,Equally weighted
6.121342495117785e-4,Equally weighted
6.083491090645124e-4,Equally weighted
5.913553421344262e-4,Equally weighted
6.03550211420087e-4,Equally weighted
6.422784059289185e-4,Equally weighted
6.402904392283544e-4,Equally weighted
6.115795467274367e-4,Equally weighted
6.110073965712313e-4,Equally weighted
6.084952948616313e-4,Equally weighted
6.127612111695818e-4,Equally weighted
5.888210704859222e-4,Equally weighted
6.144975072494414e-4,Equally weighted
6.169359068303296e-4,Equally weighted
5.919883092958402e-4,Equally weighted
6.070982986791378e-4,Equally weighted
6.142404438581261e-4,Equally weighted
6.260412505321596e-4,Equally weighted
6.116972995046168e-4,Equally weighted
6.156618995372069e-4,Equally weighted
5.768833052197026e-4,Equally weighted
6.14344716010919e-4,Equally weighted
6.11387098692529e-4,Equally weighted
6.154941447369471e-4,Equally weighted
6.113729869588609e-4,Equally weighted
6.183975522436837e-4,Equally weighted
6.054853932869933e-4,Equally weighted
6.14462460679953e-4,Equally weighted
6.337401978127205e-4,Equally weighted
6.13435504807871e-4,Equally weighted
6.102833024402121e-4,Equally weighted
6.229115051637614e-4,Equally weighted
6.14346301192049e-4,Equally weighted
6.108386117343347e-4,Equally weighted
6.213627144868819e-4,Equally weighted
6.410738998386918e-4,Equally weighted
