weighting,rank,fips,omega,estimate
Equally weighted,1,31115,0.36214191979972193,-14.916465477991869
Equally weighted,2,12125,0.2717598136241364,-79.03360426385417
Equally weighted,3,31183,0.1540110069188165,-84.05435457409
Equally weighted,4,31085,0.10634014428049494,-92.98980826462008
Equally weighted,5,46017,0.07287004193257716,-111.67064813899515
Equally weighted,6,13265,0.010739706678682029,-92.3871112342307
Equally weighted,7,48327,0.007931393437878628,-93.03305403291975
Equally weighted,8,31005,0.0069758870150147395,-93.60222332259312
Equally weighted,9,20183,0.003966552022829994,-92.17143442655771
Equally weighted,10,46113,0.0024016663569538126,-92.30748767704372
Equally weighted,11,48301,3.79600310027262e-4,-86.1635600579725
Equally weighted,12,31007,2.59581119262287e-4,-92.15634908305975
Equally weighted,13,31165,1.1423754223318015e-4,-92.14063485047852
Equally weighted,14,55078,5.916400427972672e-5,-91.98963056830598
Equally weighted,15,1131,3.3333966465548515e-5,-92.12873183797652
Population weighted,1,31115,0.2852766288500563,-20.436110142011117
Population weighted,2,31183,0.2408235368099977,-68.66229080483143
Population weighted,3,12125,0.17406595335188735,-79.19902739280185
Population weighted,4,31085,0.1385127322828937,-95.03033415306209
Population weighted,5,46017,0.07517791298680317,-102.65573356529096
Population weighted,6,31103,0.0394355098999899,-93.60267607936822
Population weighted,7,48269,0.029120171455132085,-95.65115664563245
Population weighted,8,31009,0.008572942277006158,-97.23225276176167
Population weighted,9,46031,0.00412204453280496,-96.79048840623763
Population weighted,10,48301,0.0023534583929226893,-108.60466833608324
Population weighted,11,46121,9.243865600225629e-4,-97.51283042022678
Population weighted,12,46095,7.289723162098906e-4,-101.7849321396889
Population weighted,13,31087,3.0804852809084514e-4,-97.32088705794325
Population weighted,14,48311,2.2814144944786015e-4,-97.53396784391445
Population weighted,15,48403,2.0094123514223394e-4,-97.41472230899686
