spec,method,se
did_eq,unit,2.2534369325178596
did_eq,cluster,5.168414659389028
did_eq_x,unit,2.1037261798522846
did_eq_x,cluster,5.274943767760846
sdid_eq,unit,2.4014108976667528
sdid_eq,cluster,4.243646304598185
sdid_eq_x,unit,2.143157763602975
sdid_eq_x,cluster,4.626536632342262
did_w,unit,2.771163756033339
did_w,cluster,6.296489927100536
did_w_x,unit,3.034166506790609
did_w_x,cluster,7.43214896501966
sdid_w,unit,2.46942444191394
sdid_w,cluster,5.594594722180459
sdid_w_x,unit,2.9472891836697612
sdid_w_x,cluster,6.287123084749358
