onset_year,weighting,stratum,pop_lo,pop_hi,N1,N0,share,estimate,se_cluster
2014,wt,4,38457.75,118779.90000000005,198,225,0.13421801576486111,2.6927212143636368,4.106164767193824
2014,wt,5,118779.90000000005,6221536,162,121,0.7586698118401793,-6.477274740235554,3.938007608324524
2014,wt,1,60,6137.75,233,473,0.008239121034213258,0.4670641354031666,6.7451547867434964
2014,wt,3,14524,38457.75,292,414,0.06989775550140456,4.9969982387365075,5.640318363920362
2014,wt,2,6137.75,14524,296,410,0.028975295859341745,3.024298297359392,7.497703835610275
2014,wt,aggregate,NA,NA,1181,1643,1,-4.111944013004448,3.937762276418361
2009,wt,4,38457.75,118779.90000000005,198,225,0.13421801576486111,3.726129787045411,NA
2009,wt,5,118779.90000000005,6221536,162,121,0.7586698118401793,-3.9260634056064525,NA
2009,wt,1,60,6137.75,233,473,0.008239121034213258,-0.3359171299576126,NA
2009,wt,3,14524,38457.75,292,414,0.06989775550140456,7.861208834981271,NA
2009,wt,2,6137.75,14524,296,410,0.028975295859341745,11.165716407470047,NA
2009,wt,aggregate,NA,NA,1181,1643,1,-1.6082289111147146,2.9766602080270412
2010,wt,4,38457.75,118779.90000000005,198,225,0.13421801576486111,2.0856247156750367,NA
2010,wt,5,118779.90000000005,6221536,162,121,0.7586698118401793,-4.970023864982656,NA
2010,wt,1,60,6137.75,233,473,0.008239121034213258,1.9233313553422355,NA
2010,wt,3,14524,38457.75,292,414,0.06989775550140456,5.319955241407939,NA
2010,wt,2,6137.75,14524,296,410,0.028975295859341745,8.55292540525413,NA
2010,wt,aggregate,NA,NA,1181,1643,1,-2.8551556248715073,3.161186299845812
2011,wt,4,38457.75,118779.90000000005,198,225,0.13421801576486111,4.168566663397133,NA
2011,wt,5,118779.90000000005,6221536,162,121,0.7586698118401793,-1.231985264076509,NA
2011,wt,1,60,6137.75,233,473,0.008239121034213258,-0.49403709400035106,NA
2011,wt,3,14524,38457.75,292,414,0.06989775550140456,4.735328741883465,NA
2011,wt,2,6137.75,14524,296,410,0.028975295859341745,9.129353653476693,NA
2011,wt,aggregate,NA,NA,1181,1643,1,0.21627085997804607,2.3233902513225884
2012,wt,4,38457.75,118779.90000000005,198,225,0.13421801576486111,5.402544600180843,NA
2012,wt,5,118779.90000000005,6221536,162,121,0.7586698118401793,-2.7191026913432097,NA
2012,wt,1,60,6137.75,233,473,0.008239121034213258,-0.8021258694421713,NA
2012,wt,3,14524,38457.75,292,414,0.06989775550140456,6.265515868195923,NA
2012,wt,2,6137.75,14524,296,410,0.028975295859341745,1.6109564513977652,NA
2012,wt,aggregate,NA,NA,1181,1643,1,-0.8597676869799535,2.175416176344181
2014,eq,4,38457.75,118779.90000000005,198,225,0.1676545300592718,3.7059403852187955,4.008553448099655
2014,eq,5,118779.90000000005,6221536,162,121,0.1371718882303133,-3.519742040597233,4.001932338378713
2014,eq,1,60,6137.75,233,473,0.1972904318374259,1.1486234499684258,7.85219760342155
2014,eq,3,14524,38457.75,292,414,0.2472480948348857,5.705488680819165,6.107818791394474
2014,eq,2,6137.75,14524,296,410,0.2506350550381033,2.889005727479562,6.73570992950503
2014,eq,aggregate,NA,NA,1181,1643,1,2.4998777643288395,4.308311638599836
2009,eq,4,38457.75,118779.90000000005,198,225,0.1676545300592718,4.330626442523157,NA
2009,eq,5,118779.90000000005,6221536,162,121,0.1371718882303133,2.904345553228876,NA
2009,eq,1,60,6137.75,233,473,0.1972904318374259,-2.6681288786891986,NA
2009,eq,3,14524,38457.75,292,414,0.2472480948348857,9.039322974659763,NA
2009,eq,2,6137.75,14524,296,410,0.2506350550381033,11.961287994375098,NA
2009,eq,aggregate,NA,NA,1181,1643,1,5.830920864897341,4.356464215155222
2010,eq,4,38457.75,118779.90000000005,198,225,0.1676545300592718,2.346662369343866,NA
2010,eq,5,118779.90000000005,6221536,162,121,0.1371718882303133,-0.7473689710303493,NA
2010,eq,1,60,6137.75,233,473,0.1972904318374259,-0.8397723092315612,NA
2010,eq,3,14524,38457.75,292,414,0.2472480948348857,6.103088808666886,NA
2010,eq,2,6137.75,14524,296,410,0.2506350550381033,9.01181375668784,NA
2010,eq,aggregate,NA,NA,1181,1643,1,3.8928850396973296,3.609119453619386
2011,eq,4,38457.75,118779.90000000005,198,225,0.1676545300592718,4.229527144334319,NA
2011,eq,5,118779.90000000005,6221536,162,121,0.1371718882303133,1.9746681304287297,NA
2011,eq,1,60,6137.75,233,473,0.1972904318374259,-2.2100600845125125,NA
2011,eq,3,14524,38457.75,292,414,0.2472480948348857,5.389519890517858,NA
2011,eq,2,6137.75,14524,296,410,0.2506350550381033,8.658971327832036,NA
2011,eq,aggregate,NA,NA,1181,1643,1,4.046734913705107,3.3978694521335213
2012,eq,4,38457.75,118779.90000000005,198,225,0.1676545300592718,5.030153597454191,NA
2012,eq,5,118779.90000000005,6221536,162,121,0.1371718882303133,1.0615644300673015,NA
2012,eq,1,60,6137.75,233,473,0.1972904318374259,-4.628328736234888,NA
2012,eq,3,14524,38457.75,292,414,0.2472480948348857,5.896810224852047,NA
2012,eq,2,6137.75,14524,296,410,0.2506350550381033,0.9812565353696066,NA
2012,eq,aggregate,NA,NA,1181,1643,1,1.7797322392466597,3.0889405342818956
