relative_time,estimate,time,se,ci_lower,ci_upper,Weighting,Estimator,year
-9,-7.4286250246189525,2005,5.048116951911359,-17.32275244011133,2.4655023908734233,Equally weighted,DID,2005
-8,-2.3889025535379176,2006,3.901683013879981,-10.036060739834369,5.258255632758535,Equally weighted,DID,2006
-7,-0.45602911772726884,2007,3.6609372145045214,-7.631334207818514,6.719275972363977,Equally weighted,DID,2007
-6,1.2548804136972933,2008,3.430130987457137,-5.468052783973505,7.9778136113680915,Equally weighted,DID,2008
-5,1.1213021343372134,2009,3.3830072902821575,-5.509270314052253,7.75187458272668,Equally weighted,DID,2009
-4,1.2538661732150445,2010,3.488623457749719,-5.583710159595993,8.091442506026082,Equally weighted,DID,2010
-3,4.214377820432986,2011,3.378772729444466,-2.4078950412242603,10.836650682090234,Equally weighted,DID,2011
-2,7.973806981593697,2012,3.918396857047557,0.2938902646455448,15.65372369854185,Equally weighted,DID,2012
-1,-5.544676827392067,2013,3.2459961343575996,-11.906712344689197,0.8173586899050642,Equally weighted,DID,2013
0,-3.4285752521659276,2014,5.029840407721332,-13.286881299283996,6.429730794952141,Equally weighted,DID,2014
1,2.0995563537403825,2015,5.767865285027649,-9.20525187259266,13.404364580073425,Equally weighted,DID,2015
2,8.364236915984492,2016,6.372770163202883,-4.126163085644597,20.854636917613583,Equally weighted,DID,2016
3,-0.32950948150866566,2017,6.898263596330014,-13.849857686179238,13.190838723161907,Equally weighted,DID,2017
-9,10.04513415468449,2005,5.288850399309343,-0.3208221475821027,20.411090456951083,Population weighted,DID,2005
-8,12.233014340323905,2006,3.9485919484938536,4.493916331631119,19.97211234901669,Population weighted,DID,2006
-7,11.048021936585855,2007,3.4934363789948026,4.201012451474025,17.895031421697684,Population weighted,DID,2007
-6,4.5070983434009975,2008,2.328431961312284,-0.056544441223038255,9.070741128025034,Population weighted,DID,2008
-5,-1.5154811339636183,2009,2.1878904737394174,-5.803667664611152,2.7727053966839152,Population weighted,DID,2009
-4,-3.981752357810052,2010,2.189150489720652,-8.27240847440075,0.30890375878064624,Population weighted,DID,2010
-3,-7.390913813796004,2011,3.345531421744243,-13.9480349095618,-0.8337927180302085,Population weighted,DID,2011
-2,-7.968918020449962,2012,3.131283022713785,-14.106119970370695,-1.8317160705292297,Population weighted,DID,2012
-1,-16.97620344897561,2013,4.047448948867604,-24.90905761802061,-9.04334927993061,Population weighted,DID,2013
0,-25.094319022809515,2014,5.252344792818603,-35.38872565112047,-14.799912394498564,Population weighted,DID,2014
1,-25.320374427281536,2015,6.125042169151561,-37.32523648260768,-13.315512371955391,Population weighted,DID,2015
2,-21.83700772161589,2016,7.200452748174327,-35.949635780420024,-7.724379662811758,Population weighted,DID,2016
3,-31.58216657736395,2017,8.75913170200926,-48.74974924914512,-14.41458390558278,Population weighted,DID,2017
-9,-3.848615278725511,2005,2.724918338071734,-9.189357082158846,1.4921265247078246,Equally weighted,SDID,2005
-8,-1.235397935838229,2006,1.9661547232697274,-5.08899038148021,2.618194509803752,Equally weighted,SDID,2006
-7,-0.5234491555005505,2007,2.064000566905134,-4.568815930704866,3.521917619703765,Equally weighted,SDID,2007
-6,0.39954754158932104,2008,2.0654971823730675,-3.64875254603085,4.447847629209492,Equally weighted,SDID,2008
-5,0.35374328683661105,2009,1.7053203196273619,-2.9886231217373505,3.6961096954105725,Equally weighted,SDID,2009
-4,0.0333050470951477,2010,1.8279310434249618,-3.549373964240498,3.615984058430793,Equally weighted,SDID,2010
-3,1.2786789195880246,2011,1.2610930226111772,-1.1930179858846377,3.750375825060687,Equally weighted,SDID,2011
-2,3.3796332303820904,2012,1.8419342516417325,-0.23049156472644095,6.989758025490621,Equally weighted,SDID,2012
-1,-3.060588181227537,2013,1.2212240674875636,-5.4541433705566735,-0.6670329918984006,Equally weighted,SDID,2013
0,-4.545174598520738,2014,4.4293082288373045,-13.226459203468748,4.136110006427272,Equally weighted,SDID,2014
1,1.3244911100192311,2015,4.929929760575573,-8.33799366702106,10.986975887059522,Equally weighted,SDID,2015
2,6.857576381406055,2016,5.859861435099774,-4.6275409857846945,18.342693748596805,Equally weighted,SDID,2016
3,-1.5770831992092909,2017,6.332970495141942,-13.989477284842286,10.835310886423704,Equally weighted,SDID,2017
-9,6.380679424637378,2005,2.95274204232432,0.59341136604447,12.167947483230286,Population weighted,SDID,2005
-8,7.088304277808788,2006,2.4579834256062756,2.270745289024102,11.905863266593474,Population weighted,SDID,2006
-7,7.225873914006314,2007,2.374224402505243,2.572479593879911,11.879268234132716,Population weighted,SDID,2007
-6,3.613293591852738,2008,1.4276674535505594,0.815116800993632,6.411470382711844,Population weighted,SDID,2008
-5,0.803327461625571,2009,1.0897360213750695,-1.3325158929255352,2.939170816176677,Population weighted,SDID,2009
-4,0.07703964205703073,2010,1.2474061967571959,-2.3678315776791568,2.521910861793218,Population weighted,SDID,2010
-3,-1.6965867463775055,2011,1.1507187805614019,-3.951954112611702,0.5587806198566909,Population weighted,SDID,2011
-2,-1.9435338615761566,2012,1.1895836828393942,-4.275075036537887,0.3880073133855735,Population weighted,SDID,2012
-1,-6.273088918949412,2013,1.5946476708360715,-9.398540921818794,-3.14763691608003,Population weighted,SDID,2013
0,-21.64709737155934,2014,4.632994101491838,-30.727598951069847,-12.566595792048833,Population weighted,SDID,2014
1,-21.02578738878657,2015,5.612690688447042,-32.026458994506086,-10.025115783067049,Population weighted,SDID,2015
2,-18.533819626096857,2016,6.762068001240619,-31.78722936953922,-5.280409882654498,Population weighted,SDID,2016
3,-28.582171207248138,2017,8.630239879218495,-45.49713054845769,-11.667211866038588,Population weighted,SDID,2017
