weighting,county_rank,county_fips,pop_weight,estimate,se
Population weighted,1,6037,0.061345200416366,-21.422351170763186,5.337114149968827
Population weighted,2,17031,0.03197453276358041,-22.10518487401111,5.838637586486786
Population weighted,3,4013,0.023173166968886456,-22.450860602357686,5.71130428672862
Population weighted,4,6073,0.019676495987949492,-22.004498269837647,5.327552525982438
Population weighted,5,6059,0.018779272776207695,-22.282902404214333,5.439704806533538
Population weighted,6,36047,0.01595897764730493,-21.646288885726243,5.350927017070486
Population weighted,7,36081,0.014485725202858525,-22.115881427734344,5.5202582595687755
Population weighted,8,53033,0.013048038274371815,-22.163835057095135,5.742676202109033
Population weighted,9,6065,0.012935455224405687,-22.366081531146648,5.664660593875096
Population weighted,10,6071,0.012187425753164631,-22.485589221102266,5.799974084180484
Population weighted,11,32003,0.01213210052165649,-22.395445621456332,5.928334470988897
Population weighted,12,6085,0.011422446705562412,-22.178058969359377,5.581544026667136
Population weighted,13,36061,0.011042565188129846,-21.98764358668148,5.6012654448733805
Population weighted,14,26163,0.010430911278640544,-22.633002071618947,5.61655536207687
Population weighted,15,6001,0.009898030007632536,-22.123840591973696,5.427579281061929
Population weighted,16,25017,0.009566827989033634,-22.415908782718006,5.564504989334499
Population weighted,17,36103,0.008841220470465812,-22.582979510186206,5.506763514548847
Population weighted,18,6067,0.008714803647588273,-22.467217228423095,5.472498672983325
Population weighted,19,36005,0.00840366700880029,-22.25159609369429,5.423598067692201
Population weighted,20,36059,0.007850020288218918,-22.344286764408793,5.607985195040273
Population weighted,21,39049,0.007515386941770287,-22.526959404701707,5.797492578066491
Population weighted,22,27053,0.007448485908838059,-22.405360876136157,5.844804090776124
Population weighted,23,39035,0.0074121808825659205,-22.674755899363554,5.6602691437961035
Population weighted,24,26125,0.0073576937627452136,-22.501577102752073,5.913281677202996
Population weighted,25,6013,0.006464996354115559,-22.290522970238364,5.652996314860314
Population weighted,26,24031,0.006099510637431859,-22.489845840765803,5.905170819876973
Population weighted,27,15003,0.005863882931612926,-22.48035341715265,6.1031294906602715
Population weighted,28,6075,0.005837083077890038,-22.240386080450854,5.940191372705938
Population weighted,29,4019,0.005656366477804278,-22.44616227306635,5.947851293105441
Population weighted,30,36119,0.005600577819833675,-22.415904838216235,5.864558323215258
Population weighted,31,17043,0.005566826569173834,-22.443416631083863,5.655839475247886
Population weighted,32,24033,0.005556650907274636,-22.320508812965627,5.60274921568614
Population weighted,33,9001,0.0054790417650182515,-22.41841895178095,5.634535896411911
Population weighted,34,34003,0.005468708340919066,-22.34917490843624,5.76091927553058
Population weighted,35,36029,0.005447982331895699,-22.615075218123003,5.691333900265409
Population weighted,36,6019,0.005370343609226817,-22.518536379649646,5.634432283942287
Population weighted,37,9003,0.0053095755818191055,-22.538878626870975,5.593506604185342
Population weighted,38,9009,0.005120024298534042,-22.51201846438196,5.386442101065286
Population weighted,39,26099,0.005087505565061604,-22.528551403635355,5.2969631536261534
Population weighted,40,34023,0.0050379583741280085,-22.36811704507783,5.459905043331516
Population weighted,41,25025,0.005037425926703051,-22.398722709358694,5.619931275409337
Population weighted,42,41051,0.00501726194551714,-22.38045155676435,5.533128974160863
Population weighted,43,53053,0.004939554201885763,-22.49250604067725,5.810917921201068
Population weighted,44,6111,0.0049272093097367355,-22.32806038631427,5.814078466263161
Population weighted,45,6029,0.0049152391028126794,-22.566659743253112,6.00049157169813
Population weighted,46,24005,0.00487588729405328,-22.662600180973037,5.800532514521634
Population weighted,47,25027,0.004857793941742206,-22.543226815173888,5.880181987367741
Population weighted,48,39061,0.004759182706612477,-22.686369950964924,5.695578323794178
Population weighted,49,34013,0.004739284949139044,-22.43468228652204,5.843301455319466
Population weighted,50,53061,0.004610038266799229,-22.496870580183902,5.759471715139576
Equally weighted,1,6037,0.061345200416366,0.5470208541088297,4.503678535024368
Equally weighted,2,17031,0.03197453276358041,0.5424804215931651,4.587237141088887
Equally weighted,3,4013,0.023173166968886456,0.5323650562496418,4.559261645138534
Equally weighted,4,6073,0.019676495987949492,0.5544820516175477,4.6804180301858915
Equally weighted,5,6059,0.018779272776207695,0.5441858800461681,4.688540674834665
Equally weighted,6,36047,0.01595897764730493,0.5720285366203797,4.5589445061497145
Equally weighted,7,36081,0.014485725202858525,0.5561195826666392,4.589004816418187
Equally weighted,8,53033,0.013048038274371815,0.5517488917118953,4.587999473978931
