omega,weighting
5.399568451387904e-4,Equally weighted
6.10266229978207e-4,Equally weighted
5.195431638138839e-4,Equally weighted
5.376113015951648e-4,Equally weighted
6.215529734163037e-4,Equally weighted
5.048662974253106e-4,Equally weighted
5.499219829152472e-4,Equally weighted
5.696414595783335e-4,Equally weighted
6.529664669543101e-4,Equally weighted
5.850377904409514e-4,Equally weighted
6.379565744971896e-4,Equally weighted
5.290773823756233e-4,Equally weighted
6.136268508814866e-4,Equally weighted
5.547934850520804e-4,Equally weighted
5.947264567457161e-4,Equally weighted
6.119451734955633e-4,Equally weighted
5.936056954558096e-4,Equally weighted
6.621603955923236e-4,Equally weighted
5.908636633661016e-4,Equally weighted
5.515935002675389e-4,Equally weighted
6.394127270341431e-4,Equally weighted
6.112686594665636e-4,Equally weighted
6.543699833565197e-4,Equally weighted
6.037519534853888e-4,Equally weighted
6.113591816662692e-4,Equally weighted
6.175649038730665e-4,Equally weighted
6.059719523537349e-4,Equally weighted
6.316381669974678e-4,Equally weighted
6.210991645275915e-4,Equally weighted
6.605383364052189e-4,Equally weighted
5.90781268199316e-4,Equally weighted
6.646858137586085e-4,Equally weighted
5.385618247200722e-4,Equally weighted
6.534698199491106e-4,Equally weighted
5.648887709360326e-4,Equally weighted
6.875942005652565e-4,Equally weighted
6.197031358293422e-4,Equally weighted
7.158704177546826e-4,Equally weighted
6.261890497680875e-4,Equally weighted
6.065980622493634e-4,Equally weighted
5.774111930045491e-4,Equally weighted
6.128087341396732e-4,Equally weighted
5.561131449045737e-4,Equally weighted
5.048662974253106e-4,Equally weighted
6.018414803294204e-4,Equally weighted
5.411996805228755e-4,Equally weighted
6.971543976532898e-4,Equally weighted
6.631742716675615e-4,Equally weighted
5.819826016903408e-4,Equally weighted
6.689513735707997e-4,Equally weighted
5.657113190134508e-4,Equally weighted
6.156414856526405e-4,Equally weighted
5.815361612596013e-4,Equally weighted
6.494460161957979e-4,Equally weighted
5.048662974253106e-4,Equally weighted
6.956084830840953e-4,Equally weighted
6.399560813980935e-4,Equally weighted
6.061468146989036e-4,Equally weighted
6.176774606998113e-4,Equally weighted
5.947466160889218e-4,Equally weighted
6.050845870052887e-4,Equally weighted
5.048662974253106e-4,Equally weighted
6.099008762634393e-4,Equally weighted
6.759472315147897e-4,Equally weighted
5.6937025997166e-4,Equally weighted
5.048662974253106e-4,Equally weighted
6.683784466145565e-4,Equally weighted
5.923829114041841e-4,Equally weighted
6.257754171335336e-4,Equally weighted
5.894312675323045e-4,Equally weighted
6.084587863839039e-4,Equally weighted
6.145364921434785e-4,Equally weighted
5.846473709491823e-4,Equally weighted
6.268496783223461e-4,Equally weighted
6.114533514756615e-4,Equally weighted
6.555150150526232e-4,Equally weighted
5.964239827208933e-4,Equally weighted
6.210579032223481e-4,Equally weighted
6.013571743100477e-4,Equally weighted
6.088953168981693e-4,Equally weighted
5.178054206197331e-4,Equally weighted
6.008261184516455e-4,Equally weighted
5.993376088098657e-4,Equally weighted
6.102085664809444e-4,Equally weighted
5.399724640696546e-4,Equally weighted
5.82356026689167e-4,Equally weighted
6.838897618857864e-4,Equally weighted
5.048662974253106e-4,Equally weighted
7.065713158257869e-4,Equally weighted
6.32631412933225e-4,Equally weighted
6.136140845800827e-4,Equally weighted
5.484260126205997e-4,Equally weighted
6.452939931087964e-4,Equally weighted
5.552164291879793e-4,Equally weighted
5.992824300116277e-4,Equally weighted
6.011134683943618e-4,Equally weighted
5.770382134321451e-4,Equally weighted
6.042160379720741e-4,Equally weighted
6.675234523477753e-4,Equally weighted
6.604771798602485e-4,Equally weighted
6.03531693098766e-4,Equally weighted
5.717082964462096e-4,Equally weighted
5.92247902939228e-4,Equally weighted
5.762097391203059e-4,Equally weighted
5.544218438313177e-4,Equally weighted
5.65542262130801e-4,Equally weighted
6.132086874529599e-4,Equally weighted
5.825222506662836e-4,Equally weighted
5.776328463515484e-4,Equally weighted
5.785096275994472e-4,Equally weighted
6.129734129372099e-4,Equally weighted
5.712928399959756e-4,Equally weighted
6.109968922116473e-4,Equally weighted
5.647445583619069e-4,Equally weighted
5.848387207700316e-4,Equally weighted
5.999126019474202e-4,Equally weighted
5.985321793835931e-4,Equally weighted
6.131407906275441e-4,Equally weighted
6.198990241728195e-4,Equally weighted
5.806261471396708e-4,Equally weighted
5.834580102670135e-4,Equally weighted
6.093592285567976e-4,Equally weighted
6.029029619061515e-4,Equally weighted
5.984900001714693e-4,Equally weighted
6.172385580353499e-4,Equally weighted
6.090686357054505e-4,Equally weighted
5.659981773429106e-4,Equally weighted
6.429931411825589e-4,Equally weighted
6.219254774680872e-4,Equally weighted
5.048662974253106e-4,Equally weighted
6.055058138236785e-4,Equally weighted
5.479042798836395e-4,Equally weighted
6.045383313408833e-4,Equally weighted
6.414554405567542e-4,Equally weighted
5.178736166808826e-4,Equally weighted
6.327543102759768e-4,Equally weighted
5.048662974253106e-4,Equally weighted
6.05871645888071e-4,Equally weighted
6.186092220011678e-4,Equally weighted
6.18287511157362e-4,Equally weighted
6.00478927352563e-4,Equally weighted
6.109959169989941e-4,Equally weighted
5.48909710077922e-4,Equally weighted
6.498573385042209e-4,Equally weighted
5.683607852101637e-4,Equally weighted
6.102013155288243e-4,Equally weighted
5.180715392781583e-4,Equally weighted
5.645397165452351e-4,Equally weighted
5.699452482406764e-4,Equally weighted
5.699778348769278e-4,Equally weighted
5.709842433379253e-4,Equally weighted
6.339357750332164e-4,Equally weighted
5.048662974253106e-4,Equally weighted
5.786213462223734e-4,Equally weighted
7.013242703103765e-4,Equally weighted
5.687206197038168e-4,Equally weighted
5.786350991509893e-4,Equally weighted
5.785415678199362e-4,Equally weighted
5.475927417107501e-4,Equally weighted
6.335732740650236e-4,Equally weighted
6.192395574433426e-4,Equally weighted
5.687112357221981e-4,Equally weighted
6.219119918440994e-4,Equally weighted
9.891211308371444e-4,Equally weighted
5.820034930453994e-4,Equally weighted
5.990599797162638e-4,Equally weighted
5.963373673772924e-4,Equally weighted
6.081633246798752e-4,Equally weighted
5.70003797635333e-4,Equally weighted
6.03899659373135e-4,Equally weighted
6.345141254593792e-4,Equally weighted
5.563322352337397e-4,Equally weighted
7.195871677680869e-4,Equally weighted
6.177134341687106e-4,Equally weighted
6.13885480097247e-4,Equally weighted
5.713263700881868e-4,Equally weighted
6.697059867726116e-4,Equally weighted
5.992473958637258e-4,Equally weighted
7.389723169271349e-4,Equally weighted
5.720217418555756e-4,Equally weighted
5.986004659591828e-4,Equally weighted
5.937439662878866e-4,Equally weighted
6.593119483235374e-4,Equally weighted
6.266037435077194e-4,Equally weighted
6.15629373101295e-4,Equally weighted
6.228396795998878e-4,Equally weighted
5.922643930021254e-4,Equally weighted
6.422528342331523e-4,Equally weighted
5.048662974253106e-4,Equally weighted
5.747468966909785e-4,Equally weighted
6.010397668666199e-4,Equally weighted
6.137473750984269e-4,Equally weighted
6.461499912173093e-4,Equally weighted
5.71724304908411e-4,Equally weighted
5.048662974253106e-4,Equally weighted
6.641188808718409e-4,Equally weighted
5.281498754538692e-4,Equally weighted
5.988420787870426e-4,Equally weighted
5.110128823674063e-4,Equally weighted
6.022172496929544e-4,Equally weighted
6.023464753328557e-4,Equally weighted
6.15677972099149e-4,Equally weighted
6.159231721691128e-4,Equally weighted
5.36803190397848e-4,Equally weighted
6.692552970475907e-4,Equally weighted
5.742630471456147e-4,Equally weighted
6.22193781590425e-4,Equally weighted
0.00061060596039481615,Equally weighted
6.203595041320983e-4,Equally weighted
5.717297783016625e-4,Equally weighted
5.048662974253106e-4,Equally weighted
5.773293126563815e-4,Equally weighted
6.399732434923142e-4,Equally weighted
5.743001921123779e-4,Equally weighted
5.734994946264089e-4,Equally weighted
6.670844346471615e-4,Equally weighted
5.739436739060017e-4,Equally weighted
6.285877676379403e-4,Equally weighted
6.328694269887303e-4,Equally weighted
5.504606623587673e-4,Equally weighted
6.300260617366269e-4,Equally weighted
5.553763593616152e-4,Equally weighted
6.279573449836012e-4,Equally weighted
6.577667568883871e-4,Equally weighted
6.019717822576217e-4,Equally weighted
5.903726414153846e-4,Equally weighted
6.348213575111008e-4,Equally weighted
6.223143395753597e-4,Equally weighted
6.307351693456689e-4,Equally weighted
5.709058216069991e-4,Equally weighted
6.307401072773412e-4,Equally weighted
6.346390781571407e-4,Equally weighted
5.959543124784546e-4,Equally weighted
5.048662974253106e-4,Equally weighted
6.141010071895658e-4,Equally weighted
5.284392949206929e-4,Equally weighted
6.62634463898198e-4,Equally weighted
6.299403639612662e-4,Equally weighted
6.171473207221219e-4,Equally weighted
5.923956179197246e-4,Equally weighted
5.956300947696545e-4,Equally weighted
5.549222413107248e-4,Equally weighted
6.372777035087753e-4,Equally weighted
5.944843739088783e-4,Equally weighted
6.541559668475031e-4,Equally weighted
6.057099271866791e-4,Equally weighted
5.762540343118429e-4,Equally weighted
5.355596930658545e-4,Equally weighted
6.035674197377674e-4,Equally weighted
5.048662974253106e-4,Equally weighted
6.936451617580335e-4,Equally weighted
5.048662974253106e-4,Equally weighted
0.00064560942998987585,Equally weighted
5.497944149717227e-4,Equally weighted
6.134560693320864e-4,Equally weighted
5.962801542291206e-4,Equally weighted
5.192598943234521e-4,Equally weighted
6.850620430635298e-4,Equally weighted
5.703004660484327e-4,Equally weighted
6.236116923455157e-4,Equally weighted
7.477300743808747e-4,Equally weighted
5.048662974253106e-4,Equally weighted
6.077712505592268e-4,Equally weighted
5.770695451351966e-4,Equally weighted
5.048662974253106e-4,Equally weighted
5.574564899146274e-4,Equally weighted
5.881817174269965e-4,Equally weighted
5.891631190958903e-4,Equally weighted
6.325843731267815e-4,Equally weighted
6.190291665557456e-4,Equally weighted
5.259938866489156e-4,Equally weighted
6.19951087270494e-4,Equally weighted
5.281460002282141e-4,Equally weighted
6.243687036993803e-4,Equally weighted
6.217522278431535e-4,Equally weighted
5.048662974253106e-4,Equally weighted
6.14819441921165e-4,Equally weighted
5.973535266422344e-4,Equally weighted
6.490460937414275e-4,Equally weighted
5.512453149811849e-4,Equally weighted
6.514847990392369e-4,Equally weighted
6.055125999008057e-4,Equally weighted
7.159292227392217e-4,Equally weighted
5.547458548793112e-4,Equally weighted
5.946182505508206e-4,Equally weighted
6.611121100364645e-4,Equally weighted
5.671094784916312e-4,Equally weighted
5.906451238687811e-4,Equally weighted
6.31849434150496e-4,Equally weighted
6.270049862030231e-4,Equally weighted
8.025667717628076e-4,Equally weighted
6.434907995669798e-4,Equally weighted
5.674533583739279e-4,Equally weighted
5.983365136970393e-4,Equally weighted
5.688917222982744e-4,Equally weighted
6.229153103159059e-4,Equally weighted
6.051419925243695e-4,Equally weighted
6.464188179537493e-4,Equally weighted
5.909005894338608e-4,Equally weighted
6.017950148145123e-4,Equally weighted
5.659799503845789e-4,Equally weighted
5.575751431924342e-4,Equally weighted
