weighting,rank,fips,omega,estimate
Equally weighted,1,31075,0.3453733084660947,-124.94027692215813
Equally weighted,2,12125,0.20553466106991208,-39.92755685687184
Equally weighted,3,31103,0.15093260373476794,-21.19299073180344
Equally weighted,4,46095,0.06441310794299172,-43.35305352220671
Equally weighted,5,31085,0.0642781939425459,-33.68875159688295
Equally weighted,6,31115,0.04283527104097688,-42.71222395625058
Equally weighted,7,40043,0.039317786032915004,-43.137441090323904
Equally weighted,8,13037,0.035393958920610334,-40.18547073501749
Equally weighted,9,31183,0.018094486878287613,-53.688450772840824
Equally weighted,10,40057,0.008648306075555183,-43.576448076082514
Equally weighted,11,31007,0.006954001735726347,-40.72698720088404
Equally weighted,12,31125,0.003222678165909408,-40.5850064203338
Equally weighted,13,48033,0.0027284133546181524,-39.565588425747066
Equally weighted,14,16003,0.0027097800269014955,-38.53302892150087
Equally weighted,15,31117,0.001880038444463302,-39.8139003058851
Population weighted,1,31115,0.33578578406921944,-55.83677209197255
Population weighted,2,31149,0.18741447540956532,-24.116382098799193
Population weighted,3,12125,0.159986167199921,-75.01853728552116
Population weighted,4,31171,0.15591284098809496,-94.2432533624412
Population weighted,5,31075,0.043768960014763915,-68.79426024953868
Population weighted,6,31133,0.043155506319527893,-65.35621321633552
Population weighted,7,46017,0.021275385158497275,-94.8958549616412
Population weighted,8,48269,0.018372518481672345,-69.99085032794528
Population weighted,9,31103,0.010709451934804165,-59.23272265314053
Population weighted,10,13265,0.0060395083260312,-58.58877313131079
Population weighted,11,48081,0.005588491950632152,-57.845172450363165
Population weighted,12,48191,0.005495259094937936,-59.94327510222091
Population weighted,13,29197,0.0014587565350453243,-58.283205551862196
Population weighted,14,31005,0.001372942586228224,-59.78564401149839
Population weighted,15,31105,8.589565853692747e-4,-57.894708798262215
